SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
095f7f50,160,147.655,16,16,0,4.662,42,0,0
aab22fc4,0,7.268,16,1,0,4.044,0,0,0
8add94fc,0,2.915,16,0,0,4.110,0,0,0
ca74f47d,0,7.479,17,4,0,4.160,0,0,0
5fd00d64,2,7.772,19,7,0,4.287,0,0,0
1a2e12c8,13,8.565,20,7,0,4.561,0,0,0
ca65459f,0,2.896,20,0,0,4.588,0,0,0
0b9ede25,160,156.789,20,1,0,4.562,48,0,0
36f84631,160,158.078,21,2,0,4.583,46,0,0
b0306567,24,8.846,24,5,0,4.736,0,0,0
d53a11b8,160,172.831,25,1,0,5.546,47,0,0
667755b0,0,8.850,29,4,0,5.479,0,0,0
sum,679,689.944,243,48,0,55.318,183,0,0
arith_mean,97.00,57.50,20.25,4.80,0,4.61,45.75,0,0
geo_mean,45.58,18.41,19.90,3.23,0,4.59,45.69,0,0
