SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
095f7f50,160,124.874,0,16,63,4.662,42,0,0
aab22fc4,0,6.527,0,1,4,4.044,0,0,0
8add94fc,0,3.379,0,0,0,4.110,0,0,0
ca74f47d,2,12.993,0,7,25,4.160,12,0,0
5fd00d64,2,13.103,0,7,29,4.287,12,0,0
1a2e12c8,13,54.828,0,7,25,4.561,24,0,0
ca65459f,0,3.413,0,0,0,4.588,0,0,0
0b9ede25,160,139.087,0,1,5,4.562,47,0,0
36f84631,160,136.384,0,2,11,4.583,46,0,0
b0306567,25,87.551,0,8,33,4.736,25,0,0
d53a11b8,160,150.910,0,6,29,5.546,47,0,0
667755b0,2,14.647,0,12,40,5.479,15,0,0
sum,684,747.696,0,67,264,55.318,270,0,0
arith_mean,76.00,62.31,0,6.70,26.40,4.61,30.00,0,0
geo_mean,22.86,28.77,0,4.79,19.87,4.59,26.05,0,0
