SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
095f7f50,160,127.500,0,16,63,4.662,42,0,0
aab22fc4,0,7.013,0,1,4,4.044,0,0,0
8add94fc,0,5.603,0,0,0,4.110,0,0,0
ca74f47d,0,9.657,0,7,25,4.160,0,0,0
5fd00d64,0,9.860,0,7,29,4.287,0,0,0
1a2e12c8,13,56.260,0,7,25,4.561,24,0,0
ca65459f,0,5.520,0,0,0,4.588,0,0,0
0b9ede25,160,6.242,0,1,5,4.562,0,0,0
36f84631,160,6.639,0,2,11,4.583,0,0,0
b0306567,24,68.215,0,8,33,4.736,23,0,0
d53a11b8,160,127.122,0,6,29,5.546,46,0,0
667755b0,0,9.735,0,12,40,5.479,0,0,0
sum,677,439.366,0,67,264,55.318,135,0,0
arith_mean,112.83,36.61,0,6.70,26.40,4.61,33.75,0,0
geo_mean,76.75,16.83,0,4.79,19.87,4.59,32.14,0,0
