SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
9435e5252e70babd05539c857f0fce17c9c7cb3d,160,85.958,168,168,0,6.976,19,0,0
f2d1889c11e6abc68d1518ddca8c6870ae47e300,49,13.082,168,103,0,6.352,0,0,0
e2a67fc8b3e1568e60a01da44a4f551cf0f399b8,49,13.383,168,104,0,6.366,0,0,0
554a524af2d2b30d09505516adc412468a84d8fa,160,82.414,169,104,0,6.380,19,0,0
3a144732ddd24e4b1fac3e3d9cbd0370314e48d6,49,13.332,169,103,0,6.367,0,0,0
bf1b3b3f9ccf965b8a5dd5f38e63274dfef5378a,160,92.358,169,169,0,6.959,19,0,0
873df3755f00cb12119a8646fa0a1ce0cf431c8c,160,84.394,169,169,0,6.380,19,0,0
e83fe79a4083496dcbf87e29645e4dbe578957f0,51,14.125,169,118,0,6.375,0,0,0
322c261bbb6fd36162716abc3474e44f03c9a796,51,14.420,170,121,0,6.421,0,0,0
6e0d8beb6fe1b3242ab1904065d8bd29d7da2e00,4,10.281,172,3,0,6.359,0,0,0
b2bed20f32897bd7f582a1752ba0a5f2a6799191,160,90.106,173,119,0,6.505,19,0,0
b72cbaf5080b37c3c2bed2bb7ebd0bbb29183fd0,51,14.015,173,118,0,6.498,0,0,0
5b301ba50d647d4993635adcc3dc9eca0745f0c9,0,10.016,173,1,0,6.495,0,0,0
084f488f87a12de0657400c066a71c3b0b4b36fd,51,13.876,173,119,0,6.487,0,0,0
10d22fcb31027635156e722e62685a1932fab515,52,14.549,175,122,0,6.576,0,0,0
46a4d9e300f90db33758e2d058ef5ade9b094aae,0,3.554,175,0,0,6.511,0,0,0
997320f3270e3189b7bf2c960624f3f7a6c340b0,160,85.786,175,118,0,6.902,19,0,0
2d26e32c9520dd5764ad449b6a2471467ce63599,160,92.118,175,3,0,6.626,19,0,0
7b7f48cef921c8128fec0541780ecd8300249f21,51,13.932,176,119,0,6.682,0,0,0
f52f0d077e038a4ab2c9b934691300f74e0cd96e,51,13.933,176,119,0,6.633,0,0,0
sum,1629,775.632,3435,2000,0,130.850,133,0,0
arith_mean,90.50,38.78,171.75,105.26,0,6.54,19.00,0,0
geo_mean,68.68,23.92,171.73,64.50,0,6.54,19.00,0,0
