SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
4840a410,160,67.528,0,115,588,6.662,2,0,0
e27725f5,32,16.771,0,12,61,6.217,0,0,0
9f1d9e21,34,99.922,0,53,369,6.075,1,0,0
ee90a41c,3,9.821,0,6,39,0,0,0,0
792774f1,18,11.988,0,2,7,0,0,0,0
00e53aeb,0,8.974,0,1,7,0,0,0,0
6ae583f5,33,77.950,0,49,342,0,0,0,0
8915ec90,35,78.429,0,79,565,0,1,0,0
8f26d181,33,76.629,0,44,311,0,0,0,0
eba7e035,37,77.514,0,46,349,0,0,0,0
c3faf8a0,24,57.188,0,45,322,0,0,0,0
7faffaea,34,43.600,0,15,93,0,1,0,0
c92a566c,33,73.881,0,60,407,0,1,0,0
e61771aa,32,71.251,0,48,338,0,0,0,0
1dd867b3,37,71.124,0,48,348,0,0,0,0
f90c53dd,7,27.423,0,46,341,0,0,0,0
e1de3e52,0,8.975,0,8,52,0,0,0,0
dbd4ad48,26,15.097,0,10,74,0,0,0,0
2d73dc41,23,19.390,0,8,55,0,0,0,0
d478a1fb,33,20.621,0,23,123,0,2,0,0
sum,634,934.076,0,718,4791,18.954,8,0,0
arith_mean,35.22,46.70,0,35.90,239.55,6.32,1.33,0,0
geo_mean,27.01,34.59,0,21.47,138.51,6.31,1.26,0,0
