SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
4840a410,160,65.004,0,115,588,6.662,2,0,0
e27725f5,29,12.667,0,2,3,6.217,0,0,0
9f1d9e21,34,26.743,0,14,37,6.075,1,0,0
ee90a41c,0,9.367,0,3,15,0,0,0,0
792774f1,18,10.260,0,2,2,0,0,0,0
00e53aeb,0,8.853,0,1,5,0,0,0,0
6ae583f5,33,31.190,0,12,38,0,0,0,0
8915ec90,35,13.789,0,18,50,0,0,0,0
8f26d181,29,12.331,0,5,14,0,0,0,0
eba7e035,37,112.757,0,15,56,0,0,0,0
c3faf8a0,24,14.304,0,6,11,0,0,0,0
7faffaea,28,17.843,0,5,12,0,0,0,0
c92a566c,30,21.359,0,18,48,0,1,0,0
e61771aa,18,57.331,0,11,29,0,0,0,0
1dd867b3,37,16.943,0,16,33,0,0,0,0
f90c53dd,0,9.302,0,4,9,0,0,0,0
e1de3e52,0,8.939,0,3,12,0,0,0,0
dbd4ad48,25,12.286,0,4,11,0,0,0,0
2d73dc41,23,12.092,0,2,4,0,0,0,0
d478a1fb,33,13.484,0,8,28,0,2,0,0
sum,593,486.844,0,264,1005,18.954,6,0,0
arith_mean,37.06,24.34,0,13.20,50.25,6.32,1.50,0,0
geo_mean,31.41,17.77,0,6.58,17.93,6.31,1.41,0,0
