SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
a2b382da0a7424c9861da2750b40f332543314eb,0,56.201,0,0,0,4.685,5,0,0
5985fb7361c4b21cf789a9f5d89276afaa49674a,0,3.025,0,0,0,3.435,0,0,0
10777466f2c5ea11e738f55430a70c911ce6c4cb,0,50.941,0,0,0,3.436,4,0,0
4926c32d147a7ace1b1729cffb3f106783b2e921,0,51.006,0,0,0,3.497,4,0,0
236ec5483c17b297a683493c74e55dcacbb6984f,0,38.437,0,0,0,3.459,1,0,0
9e6ce7196f8fe36bd28ec96ba27d7d8ce7d4924c,0,51.368,0,0,0,3.476,4,0,0
42e821c9948d2759c066fa35ab59ebf7a42ce70d,0,51.413,0,0,0,3.419,4,0,0
dbece6b01144f7ec8ba4365895666ad0dbf7f53d,0,51.616,0,0,0,3.450,4,0,0
922ccf0ce7597ce419fe208e67078b4ed7a0d047,0,51.022,0,0,0,3.438,5,0,0
34ce5b5f35adfbcbb5973de648987530cc9e7057,0,51.626,0,0,0,3.466,5,0,0
sum,0,456.655,0,0,0,35.761,36,0,0
arith_mean,0,45.67,0,0,0,3.58,4.00,0,0
geo_mean,0,37.89,0,0,0,3.56,3.69,0,0
