SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bade7ff1,160,4390.702,0,8,0,24.105,0,0,0
9561a13f,16,28.472,0,2,0,23.652,0,0,0
7bc38e35,160,4412.634,0,2,0,23.654,0,0,0
7561b93f,160,7407.384,0,2,0,39.378,0,0,0
1796a21d,160,7508.198,0,2,0,40.037,0,0,0
e10b82c6,160,6649.071,0,2,0,40.130,0,0,0
97218b07,16,43.494,0,2,0,40.135,0,0,0
5904d2dc,160,6936.292,0,2,0,39.758,0,0,0
9ec3321b,160,8969.399,0,2,0,45.043,0,0,0
ebe8977d,28,49.149,0,2,0,44.737,0,0,0
50bffbfc,160,5941.400,0,3,0,3.767,0,0,0
38b0c219,0,2.721,0,0,0,3.739,0,0,0
4f727811,34,7.446,0,3,0,3.761,0,0,0
sum,1374,52346.362,0,32,0,371.896,0,0,0
arith_mean,114.50,4026.64,0,2.67,0,28.61,0,0,0
geo_mean,82.86,643.83,0,2.40,0,20.90,0,0,0
