SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bade7ff1,160,4044.883,0,8,19,24.105,0,0,0
9561a13f,14,26.389,0,3,3,23.652,0,0,0
7bc38e35,160,4044.604,0,3,4,23.654,0,0,0
7561b93f,160,6994.068,0,4,9,39.378,0,0,0
1796a21d,160,6998.275,0,3,6,40.037,0,0,0
e10b82c6,160,7188.342,0,3,7,40.130,0,0,0
97218b07,16,41.453,0,3,5,40.135,0,0,0
5904d2dc,160,6812.163,0,3,6,39.758,0,0,0
9ec3321b,160,9435.775,0,3,7,45.043,0,0,0
ebe8977d,22,46.602,0,3,5,44.737,0,0,0
50bffbfc,160,6459.139,0,3,5,3.767,0,0,0
38b0c219,0,3.117,0,0,0,3.739,0,0,0
4f727811,30,6.842,0,3,5,3.761,0,0,0
sum,1362,52101.652,0,42,81,371.896,0,0,0
arith_mean,113.50,4007.82,0,3.50,6.75,28.61,0,0,0
geo_mean,79.47,632.60,0,3.33,6.02,20.90,0,0,0
