SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bade7ff1,0,4172.647,0,0,0,24.105,0,0,0
9561a13f,0,4313.620,0,0,0,23.652,0,0,0
7bc38e35,0,4087.272,0,0,0,23.654,0,0,0
7561b93f,0,7152.317,0,0,0,39.378,0,0,0
1796a21d,0,7072.666,0,0,0,40.037,0,0,0
e10b82c6,0,7042.981,0,0,0,40.130,0,0,0
97218b07,0,7151.729,0,0,0,40.135,0,0,0
5904d2dc,0,7251.853,0,0,0,39.758,0,0,0
9ec3321b,0,9183.485,0,0,0,45.043,0,0,0
ebe8977d,0,9139.503,0,0,0,44.737,0,0,0
50bffbfc,0,6266.397,0,0,0,3.767,0,0,0
38b0c219,0,6134.144,0,0,0,3.739,0,0,0
4f727811,0,6167.130,0,0,0,3.761,0,0,0
sum,0,85135.744,0,0,0,371.896,0,0,0
arith_mean,0,6548.90,0,0,0,28.61,0,0,0
geo_mean,0,6345.57,0,0,0,20.90,0,0,0
