SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bade7ff1,0,4262.435,0,0,0,24.105,0,0,0
9561a13f,0,4240.072,0,0,0,23.652,0,0,0
7bc38e35,0,4181.119,0,0,0,23.654,0,0,0
7561b93f,0,7013.742,0,0,0,39.378,0,0,0
1796a21d,0,7024.935,0,0,0,40.037,0,0,0
e10b82c6,0,7053.627,0,0,0,40.130,0,0,0
97218b07,0,6891.053,0,0,0,40.135,0,0,0
5904d2dc,0,7084.584,0,0,0,39.758,0,0,0
9ec3321b,0,9214.123,0,0,0,45.043,0,0,0
ebe8977d,0,9201.610,0,0,0,44.737,0,0,0
50bffbfc,0,5946.019,0,0,0,3.767,0,0,0
38b0c219,0,6140.954,0,0,0,3.739,0,0,0
4f727811,0,6293.679,0,0,0,3.761,0,0,0
sum,0,84547.952,0,0,0,371.896,0,0,0
arith_mean,0,6503.69,0,0,0,28.61,0,0,0
geo_mean,0,6306.91,0,0,0,20.90,0,0,0
