SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|,|VMS\STARTS+CLASSES_ps1c|,|STARTS+CLASSES_ps1c\VMS|,|VMS\FINE_STARTS+CLASSES_ps1c|,|FINE_STARTS+CLASSES_ps1c\VMS|,|VMS\EKSTAZI+CLASSES_ps1c|,|EKSTAZI+CLASSES_ps1c\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps1c|,|FINE_EKSTAZI+CLASSES_ps1c\VMS|,|VMS\STARTS+HyRTS-S_ps1c|,|STARTS+HyRTS-S_ps1c\VMS|,|VMS\FINE_STARTS+HyRTS-S_ps1c|,|FINE_STARTS+HyRTS-S_ps1c\VMS|,|VMS\EKSTAZI+HyRTS-S_ps1c|,|EKSTAZI+HyRTS-S_ps1c\VMS|,|VMS\FINE_EKSTAZI+HyRTS-S_ps1c|,|FINE_EKSTAZI+HyRTS-S_ps1c\VMS|
6ab09379ddc735b635b4e5a5c874ea5c88881915,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
d0c6dc6e95b2d3d943980145542b16c683aebf96,12,0,0,0,6,0,6,0,11,0,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,6,0,6,0,12,0,12,0,6,0,6,0,12,0,12
c50cdfa5392b470768c87e53880788f4019cd029,12,0,0,0,6,0,6,0,11,0,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,6,0,6,0,12,0,12,0,6,0,6,0,12,0,12
7fa683e5694d896b2a44de09383a248817d7c46a,12,0,0,0,9,0,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,9,0,9,0,12,0,12,0,9,0,9,0,14,0,14
5d75b62f4e3e1c9a1eeeb60e812b769ada3446bd,12,0,0,0,5,0,5,0,11,0,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,5,0,5,0,12,0,12,0,5,0,5,0,12,0,12
df20ccdb51e7ac1619f995b3f3e9ebc34d8ae3b6,12,0,0,0,11,0,11,0,6,0,6,0,12,0,12,0,12,0,8,0,12,0,8,0,8,0,8,0,11,0,11,0,12,0,12,0,7,0,7,0,8,0,8
71e8fe3d43c598af3bc3aa8334351ea2030da23e,12,0,0,0,12,0,12,0,12,0,6,0,12,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0
ab8f669977fa3ad9e8bcf052ac210e9f1d3965a2,12,0,0,0,11,0,6,0,11,0,6,0,12,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,11,0,6,0,12,0,12,0,0,0,0,0,0,0,0
cc3043a32a52ba576d99736f7cd4078fd4b9ee79,12,0,0,0,5,0,5,0,11,0,11,0,12,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,12,0,12,0,0,0,0,0,0,0,0
96585d914d012485ec7faf2c93c291c62e2731cb,12,0,0,0,5,0,5,0,11,0,11,0,12,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,5,0,5,0,12,0,12,0,0,0,0,0,0,0,0
1df66ae9c9d6c54f93c1154645540f0aeaa43f58,12,0,0,0,6,0,6,0,11,0,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,6,0,6,0,12,0,12,0,6,0,6,0,12,0,12
b364e579b25a05eefde377706c85f81828dd36d2,12,0,0,0,9,0,9,0,12,0,12,0,12,0,12,0,12,0,4,0,12,0,4,0,4,0,4,0,9,0,9,0,12,0,12,0,4,0,4,0,4,0,4
208d48ff2c6e9abdbc686057b4de5d0fe03bb2f7,12,0,0,0,6,0,6,0,11,0,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,6,0,6,0,12,0,12,0,6,0,6,0,12,0,12
477d01cf4c1cd0e81b9c9f0f1dc4276ee19d867f,12,0,0,0,5,0,5,0,11,0,11,0,12,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,5,0,5,0,12,0,12,0,0,0,0,0,0,0,0
b7dc04ca38fdf9c77e74d742502c083897ba3bb4,12,0,0,0,12,0,12,0,11,0,11,0,12,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0
1d5ac5618b1dc2399e5eb5310bd068b91dd0c5d8,11,4,0,0,0,0,0,0,6,0,6,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,7,0,7,0,0,0,0,0,9,0,9
e9fb243016e7dd58df0b6495d8eb45ed26b90a16,11,0,0,0,4,0,4,0,10,0,10,0,11,0,11,0,11,0,1,0,11,0,1,0,1,0,1,0,4,0,4,0,11,0,11,0,0,0,0,0,1,0,1
73d1bec7f16698b7b0bc5b1a742f4a7966b09927,11,0,0,0,4,0,4,0,10,0,10,0,11,0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,4,0,4,0,11,0,11,0,0,0,0,0,0,0,0
