SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
7eff5259543ef6f0253df935c4c075fdbfa9c45d,0,12.742,0,0,0,3.551,1,0,0
5f9e38160ccc9c39acace864868d27ac95c0d5c7,0,10.983,0,0,0,2.839,1,0,0
b4e68d5cc97e689b19f63dff32bb65e3b64e81dd,0,9.380,0,0,0,2.773,1,0,0
418685bfa734830f263bd78cd60d67cd35e03f70,0,9.217,0,0,0,2.818,1,0,0
2f585d1823d3822cd6475f7ae0e855a3a4a01880,0,11.597,0,0,0,2.763,1,0,0
a1796c630a5a04dc8845902b0858404cd8666691,0,11.528,0,0,0,2.856,1,0,0
57ad5b208e7233bd3bee4f1bc1dc91533215ce09,0,11.567,0,0,0,2.812,1,0,0
b47a4f6d7be0820c731dcfadad11288ce11669c2,0,12.137,0,0,0,2.837,1,0,0
820bf04bd3946d1b1c25c3ac75934f4cfde0e7bd,0,2.881,0,0,0,2.840,3,0,0
08fb362983edd2b0be133a00b65860cf26a6a09b,0,9.179,0,0,0,2.822,1,0,0
f8f2e92b874d391ff0a9fe2bec9a5c2610e8833d,0,10.664,0,0,0,2.810,1,0,0
6b129102006eada7fb403cd3bd58af3c729e2bc6,0,5.900,0,0,0,2.775,3,0,0
d84a02c655376859b3ce7794b958d0101e4aeeb7,0,6.794,0,0,0,2.860,3,0,0
2c2fe42a3828193f2f90339a32500400f21380d8,0,6.467,0,0,0,2.840,3,0,0
2280dd1fc46a37bb725a02cb5ab2d27a74cb4f08,0,12.408,0,0,0,2.795,1,0,0
443cc3b7a131b127cfc7ca87c7ef8a8789892d0d,0,9.165,0,0,0,2.884,1,0,0
7f5bf50b5d32feae5194211517b96612cb249618,0,12.875,0,0,0,2.821,1,0,0
83a8dfc65102c3b8931ceb7c72364b1b579ce5fb,0,2.972,0,0,0,2.837,3,0,0
3b23fc31ab415304d24ad84956d4ff8f5bf15011,0,17.621,0,0,0,3.145,5,0,0
4d1659e781f21561c3ec0e7b6e68c0668dee2d0f,0,12.660,0,0,0,3.109,4,0,0
sum,0,198.737,0,0,0,57.787,37,0,0
arith_mean,0,9.94,0,0,0,2.89,1.85,0,0
geo_mean,0,9.13,0,0,0,2.88,1.53,0,0
