SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
a02f1ada716e9b601d0223922d7e594073a2806c,0,7.659,0,0,0,0,0,0,0
6134f3867e9ee8cd55de8a4774a7a88324dd64e5,0,81.997,0,0,0,0,9,0,0
7baa9558512be83501a7a55cc28d479f55fe5ee3,0,75.409,0,0,0,0,7,0,0
cb55d5257375727c2504152609abf52e815dff07,0,87.713,0,0,0,0,7,0,0
ce6fcf061ac67083c372a9de00b6f2d9c547d716,0,88.494,0,0,0,0,7,0,0
06a32ee38abd15691f802949c797e428c8b9f07b,0,86.549,0,0,0,0,10,0,0
2f3ff1431ce1fb76d196d902a5475233b4a40fef,0,85.341,0,0,0,0,9,0,0
4b279a4f9b5f6719ef1d99014d6967eb460488e5,0,3.120,0,0,0,0,0,0,0
e31ec7a8acded7cc6ed731a391ddaf86d13329da,0,94.101,0,0,0,0,9,0,0
6a3723db00bc61b67e48e38180a7e8c483c36e78,0,2.992,0,0,0,0,0,0,0
53667945a46b21043ee0081cb4e79cad55a8a1cc,0,97.561,0,0,0,0,10,0,0
7d68643eb689d405218fb0b16245742e54f845ac,0,93.112,0,0,0,0,10,0,0
5c59d54443ad209047a7a9b03d1dadc614b3e86c,0,7.793,0,0,0,0,0,0,0
511004a7d4b7bc94830bca223baf6c040f0c0ebf,0,88.764,0,0,0,0,10,0,0
fe32984f0a4f8d859937281b380d84dc58bdd9e7,0,92.858,0,0,0,0,10,0,0
802d8ad132617255852663e82e142666d46bfdbe,0,3.258,0,0,0,0,0,0,0
12dfa2f5e391134af41933386e47787b0c1235c0,0,90.697,0,0,0,0,9,0,0
9a692e1f226b30058ba4a190d8b51bc90c2e5540,0,88.283,0,0,0,0,10,0,0
6522cb0651600764b3148ad7cf00a87547710049,0,85.102,0,0,0,0,5,0,0
4bacdbf3254784b0148e2fd63bfb8655b609af04,0,84.821,0,0,0,0,5,0,0
sum,0,1345.624,0,0,0,0,127,0,0
arith_mean,0,67.28,0,0,0,0,8.47,0,0
geo_mean,0,41.78,0,0,0,0,8.25,0,0
