SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
217db4c0b2f1791ca4f22ab8c1b01d476073e7d2,160,67.944,0,95,521,0,1,0,0
eaa19527f19574b8092c5f459c401307d693b21e,160,57.586,0,10,19,0,0,0,0
0c41c0bb1def5c9e0042d7d0ca91f511a661aaf8,38,12.141,0,12,24,0,0,0,0
4144dd7979d6ec6094277b0d24ee8d7b387b2f4b,160,62.027,0,17,33,0,1,0,0
be23c3112b0f5934b93039dc3617d85f5ec86ce6,26,11.838,0,3,12,0,0,0,0
66eeff41db4770c1a4d16e82634dc4b5050405d2,24,11.391,0,2,3,0,0,0,0
0feea3bf328a33f8f7c6947d7345f29e6fe2331d,24,12.356,0,2,3,0,0,0,0
97d082473ab4213047ef6883e6e2f57b7d54419f,24,11.695,0,2,3,0,0,0,0
ca9f3d013a624f6980daf2db01ffe852f046741d,27,11.214,0,5,16,0,0,0,0
bc7cd9e91a9bfaba0c91fc152ad65ee9063de7ce,24,11.639,0,2,3,0,0,0,0
63c56465264cb5d5a60e1cb2635ee1432fc46bd1,27,11.031,0,3,5,0,0,0,0
d50289d33b91e720643849ace60230ff23d5475b,18,11.603,0,2,6,0,0,0,0
d6cd0c7658c8ae67e42887b40eb53b82ff1171a9,27,12.055,0,8,26,0,0,0,0
ad827705db67eef6551c819bd9ea1b89eff672e0,20,11.959,0,7,26,0,0,0,0
80b49db935d9c982b8f35f017f2a4b1dda41d009,3,9.579,0,1,1,0,0,0,0
a1ff9fa55e36b9c7c12e04fed2149689a622d185,160,17.850,0,2,2,0,0,0,0
755ee2863d73b80261dcbbdbb74f2e9cd7d5da97,160,17.974,0,1,1,0,0,0,0
438aaeeae2128d9bf6f4e7db2236bb8d61f32f44,160,64.553,0,7,11,0,1,0,0
sum,1242,426.435,0,181,715,0,3,0,0
arith_mean,69.00,23.69,0,10.06,39.72,0,1.00,0,0
geo_mean,41.20,17.64,0,4.27,8.51,0,1.00,0,0
