SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
6cbb3f6b,160,120.723,0,214,1497,3.625,2,0,0
7c44c923,41,221.627,0,223,2552,3.242,1,0,0
69328c8f,31,222.664,0,223,2539,3.236,1,0,0
c472d45d,42,219.932,0,239,2730,3.302,1,0,0
86b22734,4,7.317,0,239,2703,3.268,0,0,0
58f6bdab,41,221.515,0,241,2693,3.281,1,0,0
9c11a596,36,216.001,0,239,2720,3.317,1,0,0
c7f22400,2,7.045,0,235,2649,3.278,0,0,0
ba5b41e2,32,224.160,0,237,2708,3.252,1,0,0
bcd1dc8d,40,218.806,0,243,2767,3.173,1,0,0
42524d19,42,221.738,0,261,3010,3.316,1,0,0
efe49e8f,10,22.180,0,264,3003,3.336,0,0,0
5a110fb4,32,513.747,0,266,3056,3.711,1,0,0
708ae28c,26,500.778,0,266,3040,3.728,1,0,0
2fdba8f2,26,347.764,0,221,2515,3.856,0,0,0
55fc729f,25,558.336,0,269,3069,3.774,2,0,0
c5f63d1f,17,297.890,0,221,2517,3.763,0,0,0
26ab38a0,42,556.764,0,276,3157,3.845,1,0,0
d2cebb56,54,572.956,0,277,3188,3.891,2,0,0
b3963ecd,41,565.422,0,271,3045,3.838,1,0,0
sum,744,5837.365,0,4925,55158,70.032,18,0,0
arith_mean,37.20,291.87,0,246.25,2757.90,3.50,1.20,0,0
geo_mean,27.12,184.52,0,245.43,2727.80,3.49,1.15,0,0
