SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
6cbb3f6b,160,120.410,0,214,1497,3.625,2,0,0
7c44c923,47,103.263,0,69,351,3.242,0,0,0
69328c8f,44,103.258,0,47,244,3.236,0,0,0
c472d45d,48,103.536,0,61,328,3.302,0,0,0
86b22734,44,103.997,0,44,190,3.268,0,0,0
58f6bdab,44,6.578,0,5,21,3.281,0,0,0
9c11a596,44,105.249,0,38,169,3.317,0,0,0
c7f22400,40,6.164,0,2,4,3.278,0,0,0
ba5b41e2,45,102.939,0,52,224,3.252,0,0,0
bcd1dc8d,49,105.730,0,54,246,3.173,0,0,0
42524d19,49,103.189,0,66,357,3.316,0,0,0
efe49e8f,43,108.743,0,39,157,3.336,0,0,0
5a110fb4,49,259.694,0,67,293,3.711,0,0,0
708ae28c,46,250.207,0,50,227,3.728,0,0,0
2fdba8f2,35,7.124,0,5,27,3.856,0,0,0
55fc729f,47,273.012,0,50,223,3.774,2,0,0
c5f63d1f,24,7.025,0,3,14,3.763,0,0,0
26ab38a0,46,278.370,0,71,208,3.845,0,0,0
d2cebb56,59,285.889,0,124,695,3.891,2,0,0
b3963ecd,44,7.176,0,15,51,3.838,0,0,0
sum,1007,2441.553,0,1076,5526,70.032,6,0,0
arith_mean,50.35,122.08,0,53.80,276.30,3.50,2.00,0,0
geo_mean,46.92,67.32,0,32.47,143.89,3.49,2.00,0,0
