SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
08aa0c35e50780188b8e5c6f68d858ff591a2855,160,102.372,43,43,0,7.525,12,0,0
ed381a9db75775eda38984059fe003a75ca65924,34,56.293,51,31,0,6.743,7,0,0
2fd2e07c61df687809c5764fbaffd45f9669694f,160,95.919,43,38,0,11.012,12,0,0
07b98e6fd7fa09ffce013db29491574a91256349,10,23.506,43,5,0,7.453,0,0,0
5091ef4a3d9f64f6bd9fbc6dc1a3e58e24cfe3e9,34,50.548,43,39,0,7.507,7,0,0
f6896db1a208b2f7bdc708a183dc8dd66e412c1c,32,58.149,43,17,0,6.932,2,0,0
23bd02f349339bb4df52e53d2fde0b6736312792,9,21.998,43,4,0,101.313,0,0,0
e4e537ad9e6fc86fddc21af1aec30a9b054c617b,0,6.897,43,0,0,14.771,0,0,0
980357c7a67e9131ff95195caa8876f447931b8a,34,54.749,43,39,0,6.825,7,0,0
6885ee6884752cef80c8e34ec6800005cf5f7c58,32,50.911,43,23,0,6.549,2,0,0
337a9fe571d0fc8205cf6c7746b939e58c3f92cd,160,95.618,43,38,0,9.146,12,0,0
3f9906667d726deea59486f6a737f2f40c21223b,1,17.315,49,13,0,7.213,0,0,0
f944d366595ef3969e2bc3e2151d4e46c146e5e0,34,57.794,48,37,0,6.973,7,0,0
000d7ffe12599d788bb012087f4acb8cb0a8f291,34,51.172,48,38,0,7.190,7,0,0
ce57f3d54e955e240e7cb7d09e77eafa1f3dda36,0,8.059,48,0,0,7.646,0,0,0
e75622f1377bcdd861f04eb1bb62c98c84b0e421,160,136.085,48,38,0,7.978,11,0,0
0ef6a3ebed9037c7ac49f3ab385d5d5685b8b008,32,71.576,48,23,0,9.879,1,0,0
a32effba2c57e70d9db235721fd129f1291ade96,33,65.892,85,85,0,7.402,6,0,0
54422decba8c4c335bb4d826ea7225d3663e77bc,33,68.671,85,76,0,9.560,6,0,0
ad5cd7fd16d86f3ed4cac33d4987d15c3ac2d6e8,33,73.802,85,76,0,8.629,6,0,0
sum,1025,1167.326,1025,663,0,258.246,105,0,0
arith_mean,56.94,58.37,51.25,36.83,-nan,12.91,7.00,-nan,-nan
geo_mean,33.71,46.33,49.70,28.75,-nan,9.17,5.79,-nan,-nan
