SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
e62c4357c30998c53e58f57bf96af6d4161fefae,0,63.717,0,0,0,9.080,6,0,0
84889ddc96596abc9722bd7e49918ad183ab5264,0,64.045,0,0,0,7.415,1,0,0
acf94238558df6351df7518d6770eee3c9eb74b3,0,62.578,0,0,0,8.266,0,0,0
eadcc34b295d1c8e7a7b71747927cc84d5cfff04,0,67.460,0,0,0,7.668,1,0,0
2a3d527692b84600b402e8374e2828178e6b6074,0,63.857,0,0,0,7.486,0,0,0
e468fd406d5fe199b7a81bfea710d8dd06544384,0,69.932,0,0,0,7.705,0,0,0
28300ba17102a82578b5a43de1bda75d998ff053,0,64.510,0,0,0,7.763,1,0,0
48911d8ad6e94637db88f49328d935b1098e30c9,0,62.444,0,0,0,7.799,0,0,0
868b4ef3b4374f696731d4cdfd5b696de021ca45,0,72.527,0,0,0,7.300,1,0,0
c5c311adc95449c472eb37c77e4a17e044fb51e7,0,62.068,0,0,0,7.464,0,0,0
6fee973deae4da8ceb40d64a6de88d9fd331acb6,0,62.597,0,0,0,7.686,1,0,0
280e3326ca30746a4db66ccde2a7073da3142a07,0,62.705,0,0,0,7.561,0,0,0
a574b245044e988a2a2324af67987a239b98756f,0,65.311,0,0,0,7.537,1,0,0
330acc5081e9f7451c95e40df86992151474c08a,0,68.597,0,0,0,7.648,2,0,0
b29b2f1c38f2d00e91cd5c676e65d6ec1e4ce576,0,70.691,0,0,0,7.885,0,0,0
e7a0c412b94c97ff49e4cfac539c243f46821f11,0,64.197,0,0,0,8.046,1,0,0
de938fd4c6987511b1edf6c076507a7ce972d063,0,63.420,0,0,0,7.812,0,0,0
bcb9da8213a12e7f6043e072bdc1902b274a2025,0,67.868,0,0,0,8.204,1,0,0
65d321b58adbf6a9f07d98fd0141883a33de740f,0,72.871,0,0,0,7.836,1,0,0
7cfc170989c3ecec86bc7c6c95876f498ed0ec1c,0,68.606,0,0,0,7.526,4,0,0
sum,0,1320.001,0,0,0,155.687,21,0,0
arith_mean,-nan,66.00,-nan,-nan,-nan,7.78,1.75,-nan,-nan
geo_mean,-nan,65.91,-nan,-nan,-nan,7.78,1.38,-nan,-nan
