SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
3d5338b8680e57904440d860200d31f6a7579541,160,86.233,298,298,0,6.816,12,0,0
2fffa3091f578379e87509ef32ff637e0f518897,42,8.485,298,61,0,6.135,0,0,0
43370ad7a73a3b18872bb54de624e0202b6bcf1f,0,10.087,304,6,0,6.240,0,0,0
869173dc53dffc6d7de53a317f9bc842ed1f6f9f,52,54.490,306,244,0,6.190,0,0,0
e2ebcf830d9622149689e73ba0da250e78edd136,0,6.485,306,0,0,6.192,0,0,0
3aa3e0a4c256249334a815e48d3d1ebf0efd0324,0,6.526,306,0,0,6.236,0,0,0
e85d61d62521644dbbf1cada0566af35f8c49607,54,56.566,306,268,0,6.218,0,0,0
8ad9ece9f00cc4c1bfc86109b3dd5e0ee0cae90a,54,56.172,306,267,0,6.192,0,0,0
7f2e97908ca753dc87d0d78342aab9a6dd152cc0,54,57.826,307,268,0,6.177,0,0,0
e8b90de90c99106d76a8394d02317cf0a2e4c81d,54,56.807,307,270,0,6.215,0,0,0
a2e04d538060d598565c1c781b7c1e14751afd17,52,49.571,320,157,0,6.474,0,0,0
482e8a4e8aa90acb951aa49e86e4f89ccb6039a1,54,58.884,320,281,0,6.457,0,0,0
c1f62baf6fa13014982e8098fc3a22ffb592892d,52,57.600,326,269,0,6.442,0,0,0
32dbd8cadd41bf46dc0f8a02bf2b9b83fe0c898c,52,49.102,326,159,0,6.446,0,0,0
f7e94f3b3a16d3f515c5e8f52f1c4552e2205701,0,6.699,326,0,0,6.422,0,0,0
c3432ac486ed955dbfcf6d277fd15c4af8b738d0,52,49.094,327,162,0,6.394,1,0,0
62163ccf9a569a99aa3ad9f9151a32567447a62e,42,11.256,327,71,0,6.381,0,0,0
4c6e17d2354cb680b2dd773b969421e1a95fbf36,19,24.922,329,2,0,6.351,0,0,0
a64b16658cadfee7a83f7809108e84eb06ad76c4,52,46.068,329,158,0,0,1,0,0
89f6e7522da0bde5b982eacb2bed67df2e348928,52,45.388,329,158,0,0,1,0,0
sum,897,798.261,6303,3099,0,113.978,15,0,0
arith_mean,56.06,39.91,315.15,182.29,0,6.33,3.75,0,0
geo_mean,51.61,29.69,314.95,117.24,0,6.33,1.86,0,0
