SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
6a8ef6dfec9421e74f38267a772370b0f1cd2c9d,160,193.520,0,2307,23331,42.615,10,0,0
4da97794eaa3a08d33e253d41ea78f50eb749170,79,151.778,0,1876,17687,28.309,9,0,0
e6ec6fc9e6b05b27e2fbcab7f970a7509d755174,160,231.490,0,1902,18319,33.848,10,0,0
f3dece2ee657ed38fbd1f952feaf3a3653b09d8a,79,145.541,0,1874,17647,29.209,9,0,0
96d6580a72a575d20cfb4c627b3eb7cef770b3f3,160,173.644,0,1891,18238,28.837,10,0,0
fdd98e5113b599ff05734a6ceb3cfe85d44ab491,160,163.402,0,1906,18403,28.610,10,0,0
233ab917c942420a67b9ddd599098e310a08d3f7,81,147.306,0,1875,17669,29.514,9,0,0
sum,879,1206.681,0,13631,131294,220.942,67,0,0
arith_mean,125.57,172.38,-nan,1947.29,18756.29,31.56,9.57,-nan,-nan
geo_mean,118.66,170.19,-nan,1942.21,18671.40,31.24,9.56,-nan,-nan
