SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
45a3ce9e,160,92.839,0,385,0,12.628,7,0,0
0a493aa0,0,37.781,0,0,0,10.559,0,0,0
48785dd5,35,33.568,0,206,0,10.487,0,0,0
505b4ce9,0,24.468,0,40,0,10.509,0,0,0
bd37aeab,1,29.489,0,233,0,10.295,0,0,0
ba97e03e,0,38.373,0,0,0,10.242,0,0,0
fb4889ee,0,25.014,0,1,0,10.239,0,0,0
ea51f46c,25,25.644,0,97,0,10.593,0,0,0
892fab2d,27,25.937,0,97,0,10.344,1,0,0
f3ac761c,3,31.059,0,357,0,10.631,0,0,0
4a2df35c,0,25.081,0,188,0,10.201,0,0,0
91015e23,160,87.568,0,357,0,10.198,8,0,0
ca9d3815,0,24.647,0,44,0,10.387,0,0,0
b78a29ae,0,25.269,0,360,0,10.665,0,0,0
87a81d20,0,38.704,0,0,0,10.649,0,0,0
170c5c6d,7,32.098,0,128,0,10.612,0,0,0
259ea0d6,33,54.121,0,361,0,10.682,0,0,0
403ce329,0,26.453,0,246,0,10.773,0,0,0
a118e796,160,77.146,0,158,0,10.084,2,0,0
1c0d7b81,160,83.116,0,185,0,10.082,7,0,0
sum,771,838.375,0,3443,0,210.860,25,0,0
arith_mean,70.09,41.92,0,202.53,0,10.54,5.00,0,0
geo_mean,28.66,37.24,0,130.11,0,10.53,3.79,0,0
