SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
45a3ce9e,0,97.543,0,0,0,12.628,7,0,0
0a493aa0,0,22.861,0,0,0,10.559,0,0,0
48785dd5,0,32.078,0,0,0,10.487,5,0,0
505b4ce9,0,39.533,0,0,0,10.509,5,0,0
bd37aeab,0,92.819,0,0,0,10.295,7,0,0
ba97e03e,0,23.265,0,0,0,10.242,0,0,0
fb4889ee,0,34.209,0,0,0,10.239,2,0,0
ea51f46c,0,24.879,0,0,0,10.593,0,0,0
892fab2d,0,24.001,0,0,0,10.344,1,0,0
f3ac761c,0,88.929,0,0,0,10.631,8,0,0
4a2df35c,0,92.304,0,0,0,10.201,8,0,0
91015e23,0,92.476,0,0,0,10.198,8,0,0
ca9d3815,0,100.495,0,0,0,10.387,8,0,0
b78a29ae,0,86.807,0,0,0,10.665,9,0,0
87a81d20,0,23.861,0,0,0,10.649,0,0,0
170c5c6d,0,90.230,0,0,0,10.612,9,0,0
259ea0d6,0,92.765,0,0,0,10.682,9,0,0
403ce329,0,93.421,0,0,0,10.773,6,0,0
a118e796,0,80.666,0,0,0,10.084,2,0,0
1c0d7b81,0,88.603,0,0,0,10.082,6,0,0
sum,0,1321.745,0,0,0,210.860,100,0,0
arith_mean,0,66.09,0,0,0,10.54,6.25,0,0
geo_mean,0,56.51,0,0,0,10.53,5.40,0,0
