SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
45a3ce9e,160,86.318,0,385,3419,12.628,7,0,0
0a493aa0,0,24.808,0,0,0,10.559,0,0,0
48785dd5,35,22.461,0,5,37,10.487,0,0,0
505b4ce9,31,22.383,0,4,7,10.509,0,0,0
bd37aeab,70,26.696,0,47,203,10.295,2,0,0
ba97e03e,0,23.995,0,0,0,10.242,0,0,0
fb4889ee,1,18.493,0,1,1,10.239,0,0,0
ea51f46c,25,19.189,0,1,2,10.593,0,0,0
892fab2d,27,19.380,0,1,3,10.344,1,0,0
f3ac761c,82,24.880,0,266,3094,10.631,3,0,0
4a2df35c,44,21.853,0,12,43,10.201,2,0,0
91015e23,160,84.144,0,266,3097,10.198,8,0,0
ca9d3815,25,20.966,0,4,11,10.387,0,0,0
b78a29ae,82,23.712,0,268,3175,10.665,2,0,0
87a81d20,0,24.597,0,0,0,10.649,0,0,0
170c5c6d,20,20.726,0,5,24,10.612,0,0,0
259ea0d6,82,22.057,0,269,3184,10.682,0,0,0
403ce329,73,25.895,0,89,464,10.773,3,0,0
a118e796,160,83.790,0,2,6,10.084,8,0,0
1c0d7b81,160,79.548,0,12,49,10.082,8,0,0
sum,1237,695.891,0,1637,16819,210.860,44,0,0
arith_mean,72.76,34.79,0,96.29,989.35,10.54,4.40,0,0
geo_mean,47.31,29.24,0,17.14,78.46,10.53,3.48,0,0
