SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
cbb51e2d,160,144.859,0,94,0,5.844,0,0,0
9102da6e,160,71.086,0,126,0,5.536,0,0,0
1dee974c,57,14.502,0,126,0,5.481,0,0,0
e0438f71,57,14.445,0,126,0,5.522,0,0,0
884b179f,57,16.466,0,132,0,5.510,0,0,0
593ba0b4,55,19.276,0,131,0,5.512,0,0,0
b7277646,55,14.889,0,131,0,5.532,0,0,0
4a8f6870,54,16.318,0,129,0,5.557,0,0,0
9495fd78,0,5.453,0,0,0,5.563,0,0,0
sum,655,317.294,0,995,0,50.057,0,0,0
arith_mean,81.88,35.25,0,124.38,0,5.56,0,0,0
geo_mean,72.63,21.31,0,123.74,0,5.56,0,0,0
