SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
cbb51e2d,160,159.834,0,94,0,5.844,0,0,0
9102da6e,160,71.788,0,126,0,5.536,0,0,0
1dee974c,57,14.809,0,126,0,5.481,0,0,0
e0438f71,57,14.720,0,126,0,5.522,0,0,0
884b179f,57,16.759,0,132,0,5.510,0,0,0
593ba0b4,55,19.389,0,131,0,5.512,0,0,0
b7277646,55,19.378,0,131,0,5.532,0,0,0
4a8f6870,54,15.001,0,129,0,5.557,0,0,0
9495fd78,0,5.606,0,0,0,5.563,0,0,0
sum,655,337.284,0,995,0,50.057,0,0,0
arith_mean,81.88,37.48,0,124.38,0,5.56,0,0,0
geo_mean,72.63,22.23,0,123.74,0,5.56,0,0,0
