SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
cbb51e2d,160,83.891,0,92,436,5.844,0,0,0
9102da6e,160,81.400,0,159,985,5.536,0,0,0
1dee974c,0,8.310,0,41,192,5.481,0,0,0
e0438f71,0,8.332,0,41,192,5.522,0,0,0
884b179f,23,14.655,0,144,923,5.510,0,0,0
593ba0b4,7,16.698,0,145,932,5.512,0,0,0
b7277646,0,8.282,0,65,309,5.532,0,0,0
4a8f6870,15,12.631,0,141,754,5.557,0,0,0
9495fd78,0,3.823,0,0,0,5.563,0,0,0
sum,365,238.022,0,828,4723,50.057,0,0,0
arith_mean,73.00,26.45,0,103.50,590.38,5.56,0,0,0
geo_mean,36.16,15.31,0,91.01,487.17,5.56,0,0,0
