SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
cbb51e2d,160,82.861,0,92,436,5.844,0,0,0
9102da6e,160,81.689,0,43,401,5.536,0,0,0
1dee974c,16,7.633,0,2,3,5.481,0,0,0
e0438f71,16,7.734,0,2,3,5.522,0,0,0
884b179f,39,7.611,0,22,90,5.510,0,0,0
593ba0b4,44,7.498,0,53,298,5.512,0,0,0
b7277646,10,7.902,0,3,4,5.532,0,0,0
4a8f6870,16,7.665,0,4,31,5.557,0,0,0
9495fd78,0,3.838,0,0,0,5.563,0,0,0
sum,461,214.431,0,221,1266,50.057,0,0,0
arith_mean,57.62,23.83,0,27.62,158.25,5.56,0,0,0
geo_mean,34.03,12.04,0,11.04,38.89,5.56,0,0,0
