SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8965c51c,160,122.721,0,7,0,17.422,64,0,0
cd786038,35,73.409,0,3,0,16.937,16,0,0
1b55c7b0,44,89.071,0,4,0,17.847,23,0,0
f5b69109,160,134.686,0,7,0,17.522,58,0,0
32fcefb9,160,150.395,0,7,0,27.448,22,0,0
31530c7d,160,152.387,0,4,0,27.212,16,0,0
61eb2cc8,160,173.204,0,7,0,27.260,19,0,0
158c5e27,160,188.738,0,4,0,31.292,21,0,0
sum,1039,1084.611,0,43,0,182.940,239,0,0
arith_mean,129.88,135.58,0,5.38,0,22.87,29.88,0,0
geo_mean,112.60,129.88,0,5.10,0,22.19,25.73,0,0
