SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8965c51c,160,108.956,0,7,67,17.422,63,0,0
cd786038,11,20.765,0,1,4,16.937,0,0,0
1b55c7b0,0,20.553,0,1,1,17.847,0,0,0
f5b69109,160,117.121,0,4,32,17.522,58,0,0
32fcefb9,160,134.114,0,6,46,27.448,22,0,0
31530c7d,160,134.746,0,3,21,27.212,16,0,0
61eb2cc8,160,152.175,0,4,12,27.260,19,0,0
158c5e27,160,169.299,0,7,83,31.292,21,0,0
sum,971,857.729,0,33,266,182.940,199,0,0
arith_mean,138.71,107.22,0,4.12,33.25,22.87,33.17,0,0
geo_mean,109.15,84.24,0,3.30,17.36,22.19,28.30,0,0
