SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8965c51c,160,112.510,0,7,67,17.422,64,0,0
cd786038,11,83.565,0,3,16,16.937,7,0,0
1b55c7b0,0,20.464,0,1,8,17.847,0,0,0
f5b69109,160,120.683,0,7,89,17.522,58,0,0
32fcefb9,160,137.450,0,7,105,27.448,22,0,0
31530c7d,160,138.670,0,4,76,27.212,16,0,0
61eb2cc8,160,156.815,0,7,98,27.260,19,0,0
158c5e27,160,171.336,0,4,77,31.292,21,0,0
sum,971,941.493,0,40,536,182.940,207,0,0
arith_mean,138.71,117.69,0,5.00,67.00,22.87,29.57,0,0
geo_mean,109.15,102.19,0,4.29,51.03,22.19,23.23,0,0
