SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8965c51c,0,119.433,0,0,0,17.422,63,0,0
cd786038,0,119.244,0,0,0,16.937,63,0,0
1b55c7b0,0,119.058,0,0,0,17.847,63,0,0
f5b69109,0,132.530,0,0,0,17.522,58,0,0
32fcefb9,0,146.804,0,0,0,27.448,22,0,0
31530c7d,0,148.614,0,0,0,27.212,16,0,0
61eb2cc8,0,168.100,0,0,0,27.260,19,0,0
158c5e27,0,184.785,0,0,0,31.292,21,0,0
sum,0,1138.568,0,0,0,182.940,325,0,0
arith_mean,0,142.32,0,0,0,22.87,40.62,0,0
geo_mean,0,140.55,0,0,0,22.19,34.56,0,0
