SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
8965c51c,0,120.025,0,0,0,17.422,63,0,0
cd786038,0,119.945,0,0,0,16.937,63,0,0
1b55c7b0,0,2.774,0,0,0,17.847,0,0,0
f5b69109,0,130.697,0,0,0,17.522,58,0,0
32fcefb9,0,147.135,0,0,0,27.448,22,0,0
31530c7d,0,150.956,0,0,0,27.212,16,0,0
61eb2cc8,0,168.975,0,0,0,27.260,19,0,0
158c5e27,0,184.167,0,0,0,31.292,21,0,0
sum,0,1024.674,0,0,0,182.940,262,0,0
arith_mean,0,128.08,0,0,0,22.87,37.43,0,0
geo_mean,0,88.03,0,0,0,22.19,31.72,0,0
