SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
6f3a3b719164414c041a89e25ed30eab39b014f8,160,28.897,0,49,344,3.005,8,0,0
1b2955e501825f958c94b5589f4451630ccf7dcf,56,9.922,0,49,344,0,8,0,0
ef88f31f9e9b9ef75bcd0ae4aea94ef412baebfb,31,8.813,0,21,51,0,1,0,0
64e65af9f3679ea566ea8b3fdaa91f0812bd3b01,17,6.722,0,4,17,0,0,0,0
51e075c5d6284df128e6ae0df3a9fc33046812a2,0,3.726,0,0,0,0,0,0,0
5bffe468993484854c3eee7761a7979a1d5d0cf6,17,7.486,0,8,10,0,0,0,0
59e1a40a98edd1e29781330a0368ba2d7e48679a,19,7.623,0,9,19,0,0,0,0
bf18d2bda545ce5a7a2d2218c7e8b0efa5d5c6d5,19,7.586,0,9,19,0,0,0,0
62c71b4ea375821ba8c9244f5504c25ddf35ce00,160,44.490,0,12,28,0,14,0,0
e4a4c20c1c5db9fdf3831c0f59326ffbd4ec87a9,2,6.679,0,1,1,0,0,0,0
3451909a24b7a450281eab2cedb2afd56fe7e6fc,19,7.384,0,4,5,0,0,0,0
a672b6f9eb650a4514e6582b0c9200d8028df2b4,0,6.458,0,2,2,0,0,0,0
4f713f2c3b045dfd9a1a8af1a033b878ef3eff8f,19,7.902,0,9,20,0,0,0,0
78bb73fa8774cb5fed7e7f97afe3b693c0bbbe56,0,6.558,0,2,2,0,0,0,0
4bea3b4464616b2a063ba5eebbdb965a2bd20979,17,7.779,0,8,11,0,0,0,0
1f8b3212a47db08edeb8a252ce4b2de154126fae,17,7.586,0,10,12,0,0,0,0
616624d1fee76ac42f6c20967b76eb273301e4fb,17,7.687,0,10,12,0,0,0,0
656e0c7e5e022cf200ff8b8aefbd5f1afe65dc7f,22,7.484,0,5,7,0,0,0,0
d5a3ada8a12073374c247d587057e18763b212ab,3,6.729,0,8,9,0,0,0,0
dc83d79f7442879e400d733a6a27e0ebcc6f6969,0,3.732,0,0,0,0,0,0,0
sum,595,201.243,0,220,913,3.005,31,0,0
arith_mean,37.19,10.06,0,12.22,50.72,3.00,7.75,0,0
geo_mean,20.64,8.16,0,7.60,13.98,3.00,5.47,0,0
