SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
857752c3,160,238.459,0,45,282,145.873,5,0,0
6a6b6bec,23,178.722,0,28,160,0,1,0,0
6d07e0c7,0,148.837,0,14,89,0,0,0,0
3c6978fb,0,3.455,0,0,0,0,0,0,0
74549620,39,229.218,0,43,344,0,5,0,0
40feff93,24,182.827,0,30,200,0,0,0,0
072e970f,0,3.458,0,0,0,0,0,0,0
39965989,0,3.431,0,0,0,0,0,0,0
49672fc7,0,3.464,0,0,0,0,0,0,0
6c26cf9e,15,84.549,0,17,106,0,0,0,0
6f72ce31,160,107.719,0,18,117,0,5,0,0
017f5807,1,60.672,0,18,129,0,0,0,0
edc053b4,6,65.514,0,8,79,0,0,0,0
9c38a12e,0,58.592,0,25,110,0,0,0,0
99499fa5,1,60.661,0,30,186,0,0,0,0
6ecb04f9,7,66.876,0,7,54,0,0,0,0
630a79ec,2,60.810,0,6,53,0,0,0,0
1e83b72d,0,58.501,0,1,12,0,0,0,0
378f0a6b,0,58.084,0,2,18,0,0,0,0
f0e905f2,26,94.497,0,29,197,0,0,0,0
sum,464,1768.346,0,321,2136,145.873,16,0,0
arith_mean,38.67,88.42,0,20.06,133.50,145.87,4.00,0,0
geo_mean,12.73,48.99,0,13.85,99.13,145.87,3.34,0,0
