SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
06863c54,160,114.835,73,73,0,4.600,20,0,0
af8d8ea7,47,73.884,102,48,0,3.983,14,0,0
80ef8bb2,37,72.049,78,5,0,3.947,13,0,0
2c82ff16,37,74.530,78,4,0,11.804,13,0,0
848b6abc,47,81.068,84,63,0,4.067,13,0,0
d380d95e,47,79.514,87,66,0,4.066,13,0,0
f68dd1db,47,80.686,98,76,0,4.029,13,0,0
53b965df,43,80.607,99,37,0,4.037,13,0,0
c6abf79b,47,84.158,95,73,0,4.046,13,0,0
7b41635a,41,80.084,102,8,0,4.124,14,0,0
a6986119,47,87.274,122,81,0,4.083,13,0,0
20acc8ff,47,86.328,103,81,0,4.094,14,0,0
2beed862,39,75.366,102,39,0,4.096,13,0,0
eb9cf858,47,81.008,102,80,0,4.313,14,0,0
d2285ff1,39,73.095,102,39,0,4.094,13,0,0
7d53c1a6,47,78.971,102,75,0,4.303,13,0,0
43bccc8b,42,80.846,103,38,0,4.268,13,0,0
fd519999,47,81.208,97,75,0,4.093,14,0,0
7405247e,39,78.885,97,35,0,4.123,15,0,0
91fb76da,,0,,,,0,0,,
sum,,1544.396,,,,86.170,261,,
arith_mean,49.84,81.28,96.11,52.42,0,4.54,13.74,0,0
geo_mean,46.63,80.87,95.42,40.08,0,4.36,13.66,0,0
