SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
06863c54,160,124.988,0,69,283,4.600,22,0,0
af8d8ea7,41,10.711,0,50,244,3.983,0,0,0
80ef8bb2,35,10.405,0,41,155,3.947,0,0,0
2c82ff16,35,10.439,0,40,150,11.804,0,0,0
848b6abc,1,25.183,0,14,49,4.067,0,0,0
d380d95e,0,13.013,0,17,56,4.066,0,0,0
f68dd1db,40,88.249,0,57,229,4.029,5,0,0
53b965df,7,10.487,0,51,194,4.037,0,0,0
c6abf79b,24,74.903,0,38,157,4.046,0,0,0
7b41635a,32,12.909,0,61,224,4.124,1,0,0
a6986119,40,88.568,0,96,441,4.083,5,0,0
20acc8ff,37,80.784,0,48,194,4.094,6,0,0
2beed862,6,10.415,0,46,169,4.096,0,0,0
eb9cf858,5,29.865,0,15,46,4.313,0,0,0
d2285ff1,5,10.150,0,15,46,4.094,0,0,0
7d53c1a6,0,118.564,0,0,0,4.303,23,0,0
43bccc8b,35,10.675,0,44,154,4.268,0,0,0
fd519999,1,26.735,0,62,212,4.093,0,0,0
7405247e,15,11.871,0,16,55,4.123,1,0,0
91fb76da,23,10.311,0,41,140,0,0,0,0
sum,542,779.225,0,821,3198,86.170,63,0,0
arith_mean,30.11,38.96,0,43.21,168.32,4.54,9.00,0,0
geo_mean,15.98,23.99,0,37.42,139.11,4.36,4.98,0,0
