SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
06863c54,0,136.086,0,0,0,4.600,20,0,0
af8d8ea7,0,4.270,0,0,0,3.983,22,0,0
80ef8bb2,0,4.299,0,0,0,3.947,22,0,0
2c82ff16,0,4.307,0,0,0,11.804,22,0,0
848b6abc,0,131.843,0,0,0,4.067,21,0,0
d380d95e,0,128.222,0,0,0,4.066,21,0,0
f68dd1db,0,145.241,0,0,0,4.029,21,0,0
53b965df,0,4.407,0,0,0,4.037,23,0,0
c6abf79b,0,145.907,0,0,0,4.046,21,0,0
7b41635a,0,7.996,0,0,0,4.124,1,0,0
a6986119,0,145.379,0,0,0,4.083,21,0,0
20acc8ff,0,133.490,0,0,0,4.094,22,0,0
2beed862,0,4.500,0,0,0,4.096,24,0,0
eb9cf858,0,131.771,0,0,0,4.313,21,0,0
d2285ff1,0,4.467,0,0,0,4.094,24,0,0
7d53c1a6,0,146.624,0,0,0,4.303,21,0,0
43bccc8b,0,4.437,0,0,0,4.268,24,0,0
fd519999,0,128.041,0,0,0,4.093,22,0,0
7405247e,0,8.030,0,0,0,4.123,1,0,0
91fb76da,0,4.457,0,0,0,0,25,0,0
sum,0,1423.774,0,0,0,86.170,399,0,0
arith_mean,0,71.19,0,0,0,4.54,19.95,0,0
geo_mean,0,26.06,0,0,0,4.36,16.16,0,0
