SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
06863c54,160,104.597,0,69,283,4.600,20,0,0
af8d8ea7,47,10.476,0,44,239,3.983,0,0,0
80ef8bb2,37,9.767,0,22,139,3.947,0,0,0
2c82ff16,37,9.922,0,21,131,11.804,0,0,0
848b6abc,2,9.620,0,21,130,4.067,0,0,0
d380d95e,1,9.364,0,22,134,4.066,0,0,0
f68dd1db,41,10.520,0,31,199,4.029,0,0,0
53b965df,9,9.433,0,26,165,4.037,0,0,0
c6abf79b,40,10.545,0,24,165,4.046,0,0,0
7b41635a,41,10.341,0,31,197,4.124,1,0,0
a6986119,43,10.181,0,57,320,4.083,0,0,0
20acc8ff,37,9.805,0,29,181,4.094,1,0,0
2beed862,7,8.213,0,24,160,4.096,0,0,0
eb9cf858,5,8.728,0,2,3,4.313,0,0,0
d2285ff1,5,8.129,0,1,1,4.094,0,0,0
7d53c1a6,1,8.539,0,19,132,4.303,0,0,0
43bccc8b,37,8.920,0,30,189,4.268,0,0,0
fd519999,1,8.490,0,15,45,4.093,0,0,0
7405247e,0,7.777,0,3,5,4.123,0,0,0
91fb76da,,0,,,,0,0,,
sum,,273.367,,,,86.170,22,,
arith_mean,30.61,14.39,0,25.84,148.32,4.54,7.33,0,0
geo_mean,13.10,10.60,0,18.10,83.92,4.36,2.71,0,0
