SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
06863c54,160,101.105,0,69,283,4.600,20,0,0
af8d8ea7,48,71.868,0,85,352,3.983,14,0,0
80ef8bb2,47,72.833,0,78,334,3.947,13,0,0
2c82ff16,47,71.034,0,77,335,11.804,13,0,0
848b6abc,47,76.802,0,86,347,4.067,13,0,0
d380d95e,47,78.192,0,90,376,4.066,13,0,0
f68dd1db,47,73.484,0,101,436,4.029,13,0,0
53b965df,47,71.698,0,96,388,4.037,13,0,0
c6abf79b,47,72.441,0,97,411,4.046,13,0,0
7b41635a,47,70.630,0,106,433,4.124,14,0,0
a6986119,48,67.635,0,119,575,4.083,14,0,0
20acc8ff,47,72.091,0,110,500,4.094,14,0,0
2beed862,47,72.858,0,108,455,4.096,13,0,0
eb9cf858,40,70.564,0,15,46,4.313,13,0,0
d2285ff1,40,70.475,0,15,46,4.094,13,0,0
7d53c1a6,47,72.480,0,92,392,4.303,13,0,0
43bccc8b,47,69.724,0,96,410,4.268,13,0,0
fd519999,46,74.448,0,62,212,4.093,14,0,0
7405247e,42,70.039,0,16,55,4.123,15,0,0
91fb76da,,0,,,,0,0,,
sum,,1400.401,,,,86.170,261,,
arith_mean,52.00,73.71,0,79.89,336.11,4.54,13.74,0,0
geo_mean,49.05,73.44,0,68.51,275.30,4.36,13.66,0,0
