SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
06863c54,160,106.461,0,69,283,4.600,20,0,0
af8d8ea7,48,80.541,0,50,244,3.983,14,0,0
80ef8bb2,47,77.695,0,41,155,3.947,13,0,0
2c82ff16,47,80.601,0,40,150,11.804,13,0,0
848b6abc,20,48.500,0,14,49,4.067,8,0,0
d380d95e,20,49.131,0,17,56,4.066,8,0,0
f68dd1db,47,79.869,0,57,229,4.029,13,0,0
53b965df,47,70.576,0,51,194,4.037,13,0,0
c6abf79b,47,75.318,0,38,157,4.046,13,0,0
7b41635a,47,71.243,0,61,224,4.124,14,0,0
a6986119,48,72.197,0,96,441,4.083,14,0,0
20acc8ff,47,73.033,0,48,194,4.094,14,0,0
2beed862,46,72.755,0,46,169,4.096,13,0,0
eb9cf858,40,69.077,0,15,46,4.313,13,0,0
d2285ff1,40,68.668,0,15,46,4.094,13,0,0
7d53c1a6,0,4.034,0,0,0,4.303,0,0,0
43bccc8b,46,75.153,0,44,154,4.268,13,0,0
fd519999,46,73.662,0,62,212,4.093,14,0,0
7405247e,42,67.408,0,16,55,4.123,15,0,0
91fb76da,,0,,,,0,0,,
sum,,1315.922,,,,86.170,238,,
arith_mean,49.17,69.26,0,43.33,169.89,4.54,13.22,0,0
geo_mean,44.61,61.77,0,37.23,139.06,4.36,12.98,0,0
