SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
06863c54,160,117.215,0,69,283,4.600,20,0,0
af8d8ea7,41,10.185,0,50,244,3.983,0,0,0
80ef8bb2,35,9.915,0,41,155,3.947,0,0,0
2c82ff16,35,10.023,0,40,150,11.804,0,0,0
848b6abc,1,20.168,0,14,49,4.067,0,0,0
d380d95e,0,10.886,0,17,56,4.066,0,0,0
f68dd1db,40,73.657,0,57,229,4.029,5,0,0
53b965df,7,9.404,0,51,194,4.037,0,0,0
c6abf79b,24,55.011,0,38,157,4.046,0,0,0
7b41635a,32,11.049,0,61,224,4.124,1,0,0
a6986119,40,74.703,0,96,441,4.083,5,0,0
20acc8ff,37,71.242,0,48,194,4.094,6,0,0
2beed862,6,9.506,0,46,169,4.096,0,0,0
eb9cf858,5,22.315,0,15,46,4.313,0,0,0
d2285ff1,5,9.553,0,15,46,4.094,0,0,0
7d53c1a6,0,102.595,0,0,0,4.303,21,0,0
43bccc8b,35,10.594,0,44,154,4.268,0,0,0
fd519999,1,19.554,0,62,212,4.093,0,0,0
7405247e,15,10.192,0,16,55,4.123,1,0,0
91fb76da,23,10.098,0,41,140,0,0,0,0
sum,542,667.865,0,821,3198,86.170,59,0,0
arith_mean,30.11,33.39,0,43.21,168.32,4.54,8.43,0,0
geo_mean,15.98,20.92,0,37.42,139.11,4.36,4.85,0,0
