SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
4522bb9ddc4b97bd8e705c0f3db3f8ac40e307d1,160,24.575,77,77,0,4.202,26,0,0
85f8b25c1ec8cd6f9c52be9ee9e91957e67bfa05,39,18.208,77,62,0,3.662,26,0,0
a8d410dea8f0f58dcc50c85f98bb85bca9c503bd,39,16.757,92,73,0,3.613,26,0,0
f75bc11df480f854e80b1c1b81cf825d3c733355,37,17.686,101,41,0,3.615,28,0,0
a8087ee62b4a0364f5947b0bf0c0afc8643229a6,39,14.323,95,79,0,3.615,11,0,0
ffec6c73941ac259fb8ffd8b0d1b9781656df0fb,37,15.396,98,43,0,3.649,9,0,0
e95c5e7548bb172a149bb80350aa58aa6e1437a7,37,19.279,131,71,0,3.716,9,0,0
ed62c9b53aefb7ce0a20e6a912530fa2f38a32ad,37,17.650,125,65,0,3.645,11,0,0
6fe1722ce0cbee846ce586cded9a75e37de7637a,160,8.118,125,1,0,3.694,0,0,0
711bd2ded75b241b0cac73c94e8dfa6aafc87540,27,14.680,127,2,0,3.696,0,0,0
cc0d12a7e25f098324e2cfbf17387d449edf3565,17,13.491,129,2,0,3.697,0,0,0
22a605a791345366be02e255cafd5c4ac37673e6,25,16.403,132,3,0,3.729,14,0,0
99d3ae18861ec9e696a3d4ceae31fc401a701ca8,160,65.870,132,20,0,4.105,16,0,0
52fe3322b0bbad223ea58f7cfe45be9e55e4b2e5,39,52.842,134,115,0,4.134,58,0,0
c263f34812860ae719e1ae3b6af164c25c2af428,37,48.445,132,55,0,4.104,16,0,0
259ec0395436c934cd3600c8a964294177cc2a57,0,7.631,132,0,0,4.170,0,0,0
18dc2587ea5502253d6aa2e82a45d197d895dee5,37,19.447,133,60,0,4.115,9,0,0
c7c9aa6c4744188b8b36e84c0721b56da580db83,37,17.790,134,61,0,4.131,0,0,0
c0036a59817bd72d006438249cef92a87ce1c413,37,21.423,136,64,0,4.092,9,0,0
752129deabd609cd535dc761fadfcf2da845d27d,37,20.033,136,64,0,4.132,9,0,0
sum,1038,450.047,2378,958,0,77.516,277,0,0
arith_mean,54.63,22.50,118.90,50.42,0,3.88,18.47,0,0
geo_mean,43.60,19.28,116.99,28.73,0,3.87,15.52,0,0
