SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|,|VMS\STARTS+CLASSES_ps1c|,|STARTS+CLASSES_ps1c\VMS|,|VMS\FINE_STARTS+CLASSES_ps1c|,|FINE_STARTS+CLASSES_ps1c\VMS|,|VMS\EKSTAZI+CLASSES_ps1c|,|EKSTAZI+CLASSES_ps1c\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps1c|,|FINE_EKSTAZI+CLASSES_ps1c\VMS|,|VMS\STARTS+METHODS-S_ps1c|,|STARTS+METHODS-S_ps1c\VMS|,|VMS\FINE_STARTS+METHODS-S_ps1c|,|FINE_STARTS+METHODS-S_ps1c\VMS|,|VMS\EKSTAZI+METHODS-S_ps1c|,|EKSTAZI+METHODS-S_ps1c\VMS|,|VMS\FINE_EKSTAZI+METHODS-S_ps1c|,|FINE_EKSTAZI+METHODS-S_ps1c\VMS|
4522bb9ddc4b97bd8e705c0f3db3f8ac40e307d1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
85f8b25c1ec8cd6f9c52be9ee9e91957e67bfa05,26,0,0,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,0,0,26,0,0,0,0,0,0,0,26,0,26,0,26,0,26,0,0,0,0,0,0,0,0
a8d410dea8f0f58dcc50c85f98bb85bca9c503bd,26,0,0,0,26,0,26,0,11,0,11,0,26,0,26,0,11,0,11,0,11,0,11,0,11,0,11,0,26,0,26,0,26,0,26,0,11,0,11,0,11,0,11
f75bc11df480f854e80b1c1b81cf825d3c733355,44,18,0,0,10,0,10,0,10,0,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,10,0,10,0,11,0,11,0,10,0,10,0,11,0,11
a8087ee62b4a0364f5947b0bf0c0afc8643229a6,44,1,0,0,43,1,11,0,43,1,11,0,43,1,11,1,11,1,11,1,11,1,11,1,11,1,11,0,43,1,11,0,43,0,43,1,11,1,11,1,11,1,11
ffec6c73941ac259fb8ffd8b0d1b9781656df0fb,44,0,0,0,9,0,9,0,9,0,9,0,11,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,9,0,11,0,11,0,0,0,0,0,0,0,0
e95c5e7548bb172a149bb80350aa58aa6e1437a7,44,0,0,0,28,0,9,0,28,0,9,0,29,0,29,0,11,0,11,0,11,0,0,0,0,0,0,0,28,0,9,0,29,0,29,0,0,0,0,0,0,0,0
ed62c9b53aefb7ce0a20e6a912530fa2f38a32ad,44,0,0,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
6fe1722ce0cbee846ce586cded9a75e37de7637a,44,0,0,0,44,0,0,0,46,0,46,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,0,0,0,0,44,0,44,0,0,0,0,0,46,0,46
711bd2ded75b241b0cac73c94e8dfa6aafc87540,44,0,0,0,0,0,0,0,46,0,46,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
