SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96b2f21d,0,16.207,0,0,0,2.783,2,0,0
4fddd6d7,0,15.795,0,0,0,2.426,2,0,0
418a1e7b,0,2.526,0,0,0,2.503,2,0,0
721c28e6,0,17.006,0,0,0,2.390,2,0,0
d66a71f7,0,15.949,0,0,0,2.391,2,0,0
6373d176,0,22.691,0,0,0,2.481,2,0,0
bc6ee4fe,0,15.699,0,0,0,2.484,2,0,0
96284293,0,15.616,0,0,0,2.538,2,0,0
6ae5bfdb,0,2.470,0,0,0,2.541,2,0,0
b0a0f225,0,2.432,0,0,0,2.573,2,0,0
a08b598f,0,2.495,0,0,0,2.514,2,0,0
f37f8990,0,18.565,0,0,0,2.431,2,0,0
573ddeed,0,16.597,0,0,0,2.451,2,0,0
93f865dc,0,2.454,0,0,0,2.512,2,0,0
4a710099,0,2.489,0,0,0,2.492,2,0,0
19a16806,0,18.843,0,0,0,2.620,2,0,0
dff59b93,0,2.472,0,0,0,2.456,2,0,0
0ae2846a,0,2.464,0,0,0,2.489,2,0,0
39697872,0,16.723,0,0,0,2.511,2,0,0
97b7d4ca,0,2.596,0,0,0,2.519,2,0,0
sum,0,212.089,0,0,0,50.105,40,0,0
arith_mean,0,10.60,0,0,0,2.51,2.00,0,0
geo_mean,0,7.19,0,0,0,2.50,2.00,0,0
