SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96b2f21d,0,15.687,0,0,0,2.783,2,0,0
4fddd6d7,0,16.056,0,0,0,2.426,2,0,0
418a1e7b,0,2.593,0,0,0,2.503,2,0,0
721c28e6,0,2.635,0,0,0,2.390,2,0,0
d66a71f7,0,2.534,0,0,0,2.391,2,0,0
6373d176,0,22.857,0,0,0,2.481,2,0,0
bc6ee4fe,0,19.773,0,0,0,2.484,2,0,0
96284293,0,16.757,0,0,0,2.538,2,0,0
6ae5bfdb,0,2.537,0,0,0,2.541,2,0,0
b0a0f225,0,2.500,0,0,0,2.573,2,0,0
a08b598f,0,2.487,0,0,0,2.514,2,0,0
f37f8990,0,16.046,0,0,0,2.431,2,0,0
573ddeed,0,2.605,0,0,0,2.451,2,0,0
93f865dc,0,2.559,0,0,0,2.512,2,0,0
4a710099,0,2.576,0,0,0,2.492,2,0,0
19a16806,0,20.492,0,0,0,2.620,2,0,0
dff59b93,0,2.483,0,0,0,2.456,2,0,0
0ae2846a,0,2.674,0,0,0,2.489,2,0,0
39697872,0,16.703,0,0,0,2.511,2,0,0
97b7d4ca,0,2.615,0,0,0,2.519,2,0,0
sum,0,175.169,0,0,0,50.105,40,0,0
arith_mean,0,8.76,0,0,0,2.51,2.00,0,0
geo_mean,0,5.58,0,0,0,2.50,2.00,0,0
