SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96b2f21d,160,15.932,0,22,237,2.783,0,0,0
4fddd6d7,1,5.889,0,1,2,2.426,0,0,0
418a1e7b,23,5.999,0,1,1,2.503,0,0,0
721c28e6,0,5.825,0,0,0,2.390,0,0,0
d66a71f7,160,18.677,0,1,8,2.391,0,0,0
6373d176,23,9.370,0,3,5,2.481,0,0,0
bc6ee4fe,23,6.993,0,3,5,2.484,0,0,0
96284293,1,5.708,0,1,1,2.538,0,0,0
6ae5bfdb,23,5.951,0,1,1,2.541,0,0,0
b0a0f225,23,5.823,0,1,1,2.573,0,0,0
a08b598f,0,3.815,0,0,0,2.514,0,0,0
f37f8990,23,6.904,0,3,6,2.431,0,0,0
573ddeed,24,7.751,0,1,8,2.451,0,0,0
93f865dc,23,5.954,0,1,1,2.512,0,0,0
4a710099,23,5.911,0,1,1,2.492,0,0,0
19a16806,31,7.853,0,3,14,2.620,0,0,0
dff59b93,160,15.469,0,1,3,2.456,0,0,0
0ae2846a,23,5.991,0,1,1,2.489,0,0,0
39697872,39,8.105,0,22,262,2.511,0,0,0
97b7d4ca,20,6.066,0,1,3,2.519,0,0,0
sum,803,159.986,0,68,560,50.105,0,0,0
arith_mean,44.61,8.00,0,3.78,31.11,2.51,0,0,0
geo_mean,23.36,7.34,0,1.80,4.18,2.50,0,0,0
