SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96b2f21d,160,15.188,0,22,237,2.783,0,0,0
4fddd6d7,1,6.329,0,1,2,2.426,0,0,0
418a1e7b,23,6.648,0,1,1,2.503,0,0,0
721c28e6,0,5.011,0,0,0,2.390,0,0,0
d66a71f7,160,13.984,0,1,8,2.391,0,0,0
6373d176,23,7.611,0,3,5,2.481,0,0,0
bc6ee4fe,23,7.263,0,3,5,2.484,0,0,0
96284293,1,6.402,0,1,1,2.538,0,0,0
6ae5bfdb,23,6.623,0,1,1,2.541,0,0,0
b0a0f225,23,6.709,0,1,1,2.573,0,0,0
a08b598f,0,3.703,0,0,0,2.514,0,0,0
f37f8990,23,7.151,0,3,6,2.431,0,0,0
573ddeed,24,8.662,0,1,8,2.451,0,0,0
93f865dc,23,6.673,0,1,1,2.512,0,0,0
4a710099,23,6.645,0,1,1,2.492,0,0,0
19a16806,31,8.629,0,3,14,2.620,0,0,0
dff59b93,160,17.424,0,1,1,2.456,0,0,0
0ae2846a,23,6.555,0,1,1,2.489,0,0,0
39697872,24,8.763,0,3,18,2.511,0,0,0
97b7d4ca,19,6.615,0,1,2,2.519,0,0,0
sum,787,162.588,0,49,313,50.105,0,0,0
arith_mean,43.72,8.13,0,2.72,17.39,2.51,0,0,0
geo_mean,22.67,7.60,0,1.61,3.31,2.50,0,0,0
