SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
96b2f21d,0,16.684,0,0,0,2.783,0,0,0
4fddd6d7,0,14.641,0,0,0,2.426,0,0,0
418a1e7b,0,13.518,0,0,0,2.503,0,0,0
721c28e6,0,13.422,0,0,0,2.390,0,0,0
d66a71f7,0,13.327,0,0,0,2.391,0,0,0
6373d176,0,19.772,0,0,0,2.481,0,0,0
bc6ee4fe,0,16.852,0,0,0,2.484,0,0,0
96284293,0,14.402,0,0,0,2.538,0,0,0
6ae5bfdb,0,14.855,0,0,0,2.541,0,0,0
b0a0f225,0,17.361,0,0,0,2.573,0,0,0
a08b598f,0,15.210,0,0,0,2.514,0,0,0
f37f8990,0,15.445,0,0,0,2.431,0,0,0
573ddeed,0,15.103,0,0,0,2.451,0,0,0
93f865dc,0,18.424,0,0,0,2.512,0,0,0
4a710099,0,15.046,0,0,0,2.492,0,0,0
19a16806,0,15.355,0,0,0,2.620,0,0,0
dff59b93,0,14.936,0,0,0,2.456,0,0,0
0ae2846a,0,14.945,0,0,0,2.489,0,0,0
39697872,0,17.003,0,0,0,2.511,0,0,0
97b7d4ca,0,18.068,0,0,0,2.519,0,0,0
sum,0,314.369,0,0,0,50.105,0,0,0
arith_mean,0,15.72,0,0,0,2.51,0,0,0
geo_mean,0,15.63,0,0,0,2.50,0,0,0
