SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
4d782e211e9d9e112d34becec2c2987fd717f972,160,495.495,0,609,5712,9.648,75,0,0
311bb3b24237bc26ac2b7b9e649474f6b5d11140,2,13.726,0,131,671,9.163,0,0,0
e45314ae1ee005fb453f7fa8fc75e1c39fcc8399,0,12.750,0,15,15,8.991,0,0,0
2d6644461ba55034a80b125e3570c42181cca149,13,13.098,0,2,6,9.190,1,0,0
ca346b8896f947592fa92501199587fd43752356,5,13.540,0,3,7,9.060,1,0,0
28c94188145cdebca845aa7569b3aa290de190f6,13,29.092,0,226,1047,9.217,20,0,0
f835a880765bf61889ddb72d9c4c02dccae204b1,0,5.993,0,0,0,9.043,0,0,0
a735f920c141592b07bbf1778a961871f4ef4386,1,13.222,0,1,3,9.106,0,0,0
bba835d98ed438e17b970f650ad9256632e84a04,0,12.168,0,60,138,9.172,0,0,0
e2f354333a5b8462e8a4899ad27179d0f4f2b4ec,14,14.256,0,3,4,9.358,1,0,0
897b86b9ae9982dc2dc9df607bc18340ffbb3a0c,0,5.915,0,0,0,9.223,0,0,0
59cf72243782679af46aa29928879504ddb36f29,0,12.217,0,234,1145,9.308,0,0,0
1941a7e90b70fb7e5149f8cb757cacb64ab182de,0,12.329,0,218,1022,9.168,0,0,0
ca903ae97d605c1323d4092eb4a1a9a1516237e1,160,31.669,0,279,1331,10.052,78,0,0
1fe7dabbbcde784094ceca47f5036e8b3f1ec722,13,14.720,0,2,18,9.348,0,0,0
d5e69ffd8987e61a72640fd7ff82c3c3de6af3cf,0,6.330,0,0,0,9.549,0,0,0
b34e8b9303acff77353ba86ee6ffb2f2ac88c635,0,12.616,0,1,6,9.609,0,0,0
43e04d682aed69638b0b779261725a51e62b016e,0,12.698,0,1,1,9.450,0,0,0
156d365aa3b5aa2a7df897532469bc99fd9f037d,2,13.898,0,5,11,9.527,0,0,0
599cd1d84d5bd2cc13940e1dfe75cf7c1fed6cd4,0,12.604,0,1,1,9.508,0,0,0
sum,383,758.336,0,1791,11138,186.690,176,0,0
arith_mean,38.30,37.92,0,105.35,655.18,9.33,29.33,0,0
geo_mean,10.46,15.23,0,14.26,43.71,9.33,6.99,0,0
