SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
70884f17,0,11.336,0,0,0,3.152,4,0,0
63b11acb,0,10.359,0,0,0,2.703,4,0,0
6cb9ef0d,0,8.324,0,0,0,2.737,6,0,0
99357456,0,4.672,0,0,0,2.735,6,0,0
568edb17,0,4.498,0,0,0,2.759,6,0,0
4eae3a52,0,8.737,0,0,0,2.893,4,0,0
9cf55afe,0,8.517,0,0,0,2.742,4,0,0
b36c822b,0,8.404,0,0,0,2.910,6,0,0
0282d3ab,0,8.217,0,0,0,2.895,6,0,0
46c9bfae,0,8.556,0,0,0,2.743,2,0,0
e05ce19a,0,9.970,0,0,0,2.802,5,0,0
58e9e9e4,0,10.544,0,0,0,2.778,5,0,0
9e4120fd,0,7.869,0,0,0,2.778,7,0,0
788b61cb,0,4.658,0,0,0,2.746,7,0,0
bb62b496,0,8.590,0,0,0,2.758,5,0,0
b9f73275,0,8.526,0,0,0,2.765,5,0,0
00efff7d,0,10.358,0,0,0,2.712,5,0,0
bb854ee1,0,4.517,0,0,0,2.758,7,0,0
1950b4d7,0,10.384,0,0,0,2.829,5,0,0
a6769045,0,9.795,0,0,0,2.798,5,0,0
sum,0,166.831,0,0,0,55.993,104,0,0
arith_mean,0,8.34,0,0,0,2.80,5.20,0,0
geo_mean,0,8.02,0,0,0,2.80,5.03,0,0
