SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
70884f17,160,11.608,0,80,0,3.152,4,0,0
63b11acb,58,9.319,0,73,0,2.703,4,0,0
6cb9ef0d,53,7.978,0,29,0,2.737,2,0,0
99357456,0,3.329,0,0,0,2.735,0,0,0
568edb17,14,5.891,0,1,0,2.759,0,0,0
4eae3a52,58,9.023,0,36,0,2.893,4,0,0
9cf55afe,58,8.920,0,36,0,2.742,4,0,0
b36c822b,58,9.304,0,68,0,2.910,4,0,0
0282d3ab,58,9.593,0,68,0,2.895,4,0,0
46c9bfae,60,8.912,0,68,0,2.743,5,0,0
e05ce19a,60,8.580,0,68,0,2.802,5,0,0
58e9e9e4,60,8.880,0,76,0,2.778,5,0,0
9e4120fd,60,8.428,0,68,0,2.778,5,0,0
788b61cb,3,6.189,0,1,0,2.746,0,0,0
bb62b496,60,8.114,0,37,0,2.758,5,0,0
b9f73275,60,8.263,0,38,0,2.765,5,0,0
00efff7d,60,8.712,0,82,0,2.712,5,0,0
bb854ee1,0,3.411,0,0,0,2.758,0,0,0
1950b4d7,160,9.674,0,82,0,2.829,5,0,0
a6769045,60,8.542,0,79,0,2.798,5,0,0
sum,1160,162.670,0,990,0,55.993,71,0,0
arith_mean,64.44,8.13,0,55.00,0,2.80,4.44,0,0
geo_mean,51.41,7.81,0,37.14,0,2.80,4.34,0,0
