SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
59ba4332c95dce61a22989890ee49d8e2e5c2d98,0,58.080,0,0,0,7.267,9,0,0
16cd72b20ba9f36a184b170f01c4a4a1db80bdbd,0,54.053,0,0,0,6.911,0,0,0
868524732babecd9e88f1a5c2cd65d672f62fafd,0,55.655,0,0,0,6.894,0,0,0
61b0faf17728e28afac1240c3a565f95b083183b,0,55.664,0,0,0,6.966,0,0,0
bc65a0b33398eac6e0f80d480ccb16fa13f33b9a,0,55.665,0,0,0,6.977,0,0,0
19b9d73a1be5bba5890b194260d115d664c8b5ce,0,55.459,0,0,0,6.953,0,0,0
01f7076cabdeb4444bf0606b4c88daf93a436af4,0,55.346,0,0,0,6.995,0,0,0
fa5c19032459214bbb241202e435cfd2f21bbf43,0,55.175,0,0,0,6.988,0,0,0
ff50d7b60ad15fed7ed294ca2295cb356cbc4273,0,55.544,0,0,0,6.939,0,0,0
b66d3d543982755f1d2397066ac9ccbc5ba8c327,0,55.420,0,0,0,7.011,0,0,0
414da301b9d58f7cc169a70bb7e68fe71e02822c,0,54.551,0,0,0,6.958,0,0,0
647b93bc63c3bc3a43310e00e80f1bd86a5a3963,0,56.850,0,0,0,8.186,0,0,0
e11279525524d12f8eb4687b1f4e926d75bf1371,0,55.890,0,0,0,8.262,0,0,0
40dfa0cf36d844ca733bef0d4a61e87c9339af2c,0,55.759,0,0,0,8.281,0,0,0
4cd975b9649ec87f9a71ce48916fba8d9d460e4e,0,56.514,0,0,0,8.249,0,0,0
ca12c7bafd2d7033f8cff7770ecf2260d45aa4ab,0,56.872,0,0,0,8.266,0,0,0
08c7148ab302a364517f993c0fda33b1dca7bfe6,0,57.135,0,0,0,8.315,0,0,0
a5694ac69113d815dd6588775dbccf22747f556b,0,56.050,0,0,0,8.295,0,0,0
384395d53cccde5a93932dba78328a5888db7ee8,0,56.720,0,0,0,8.296,0,0,0
f5b1b622d2d4141898bf850bd3cd54ee3d153aa4,0,56.424,0,0,0,8.319,0,0,0
sum,0,1118.826,0,0,0,151.328,9,0,0
arith_mean,0,55.94,0,0,0,7.57,9.00,0,0
geo_mean,0,55.93,0,0,0,7.54,9.00,0,0
