SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
9b15b2008bd9dc654127629d40009899a4104e67,160,97.489,30,30,0,4.574,5,0,0
a345812f8fe6e80b8626b44eeb9f960842737bb6,40,60.830,30,28,0,3.977,2,0,0
bae558d829400e0fee781cf60de295841afcf68b,40,36.496,30,9,0,4.770,0,0,0
989cea121f33b6a4e35d99a0fdd3f8d599abff0c,40,56.813,30,22,0,4.007,2,0,0
9f8fe5b1bfed58169a01c6f2d8648f77b8743b89,40,63.372,30,27,0,3.921,2,0,0
3c2e5880e592b327c179c59efb269bbfbfe2d52f,40,55.978,31,23,0,4.126,2,0,0
6756fd62dd70a8eaa6f53527a96a87f3ec54c765,40,50.994,31,23,0,4.085,2,0,0
eafa46e2f5e53791f6dbaa1acab007b2394909aa,40,69.428,31,21,0,4.098,2,0,0
15cc3d301ac848eddc1dfbb6df9745d61c2f76f5,0,5.097,31,0,0,3.945,0,0,0
0be34d87125f0e5a14feb6dd27cd1d9ecca0ad51,22,23.167,31,3,0,4.029,0,0,0
c76b75f68c5f90e8d82198130877042d4ff388e3,40,52.515,31,24,0,3.951,2,0,0
1c33a71c86d499bbc0381552763c759ef22134c8,40,68.961,62,31,0,3.989,2,0,0
63b64ba9d1a7d0e0a5fcbd3259335e364a84d441,160,77.892,31,22,0,4.044,5,0,0
8dc4eec3bc4dd7fe3eb698c5cae8e204317d3e67,37,51.233,28,22,0,3.962,2,0,0
c78e510a6d557740eb1c692bf385dbc71bf6dd09,37,48.510,28,22,0,3.962,2,0,0
9c0b8ad67142f44e7dcc84583c8182e20351d992,160,77.648,28,13,0,3.945,5,0,0
b68a9cf2a9662d8243498a0c8131fbad5102014b,0,7.410,28,1,0,3.924,0,0,0
3389583fd6c1960c48f3e384067617659a255bed,37,55.143,28,19,0,4.064,2,0,0
0faec47ffceada0c9909fb28e794366f752d5fe5,0,7.416,28,1,0,4.028,0,0,0
sum,973,966.392,597,341,0,77.401,37,0,0
arith_mean,60.81,50.86,31.42,18.94,0,4.07,2.64,0,0
geo_mean,49.25,40.19,30.87,13.71,0,4.07,2.43,0,0
