SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
1c8eee49,160,26.410,67,67,0,4.289,3,0,0
9d959559,45,24.668,67,55,0,3.888,3,0,0
a1046580,45,24.763,67,54,0,3.755,3,0,0
52b38be4,45,24.840,66,54,0,3.869,3,0,0
ca540c89,45,24.539,66,54,0,3.868,3,0,0
63b4146e,45,24.756,66,56,0,3.863,3,0,0
3e70db07,45,24.931,66,54,0,3.868,3,0,0
9239196a,45,25.210,66,54,0,3.915,3,0,0
64450ebb,45,26.170,66,52,0,3.803,3,0,0
1cbfa35e,45,27.922,65,53,0,3.917,3,0,0
af9f79d9,45,25.963,64,56,0,3.849,3,0,0
a516ec69,45,26.823,63,53,0,3.899,3,0,0
16b9d23e,45,27.173,63,52,0,3.902,3,0,0
a3cd7c9e,0,3.218,63,0,0,4.016,0,0,0
945fbb8d,45,26.844,63,52,0,3.868,3,0,0
56022074,45,26.753,63,52,0,3.909,3,0,0
4d8d667e,45,26.449,63,51,0,3.879,3,0,0
bbca52f9,45,26.786,62,51,0,3.890,3,0,0
41439694,45,26.064,62,55,0,3.935,3,0,0
ab12dcc1,45,26.783,62,51,0,4.298,3,0,0
sum,970,497.065,1290,1026,0,78.480,57,0,0
arith_mean,51.05,24.85,64.50,54.00,0,3.92,3.00,0,0
geo_mean,48.11,23.40,64.47,53.90,0,3.92,3.00,0,0
