SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
1c8eee49,160,27.885,0,64,531,4.289,3,0,0
9d959559,47,25.289,0,50,397,3.888,3,0,0
a1046580,47,25.391,0,65,709,3.755,3,0,0
52b38be4,47,24.718,0,52,421,3.869,3,0,0
ca540c89,45,25.628,0,24,97,3.868,1,0,0
63b4146e,47,25.292,0,49,391,3.863,3,0,0
3e70db07,47,25.522,0,49,392,3.868,3,0,0
9239196a,47,25.215,0,49,399,3.915,3,0,0
64450ebb,47,29.861,0,63,676,3.803,3,0,0
1cbfa35e,47,26.320,0,63,717,3.917,3,0,0
af9f79d9,47,26.363,0,62,705,3.849,3,0,0
a516ec69,47,27.092,0,62,718,3.899,3,0,0
16b9d23e,47,27.282,0,52,420,3.902,3,0,0
a3cd7c9e,0,3.712,0,0,0,4.016,0,0,0
945fbb8d,47,27.359,0,49,401,3.868,3,0,0
56022074,47,27.343,0,46,402,3.909,3,0,0
4d8d667e,47,27.183,0,62,710,3.879,3,0,0
bbca52f9,47,27.311,0,62,721,3.890,3,0,0
41439694,47,31.088,0,44,320,3.935,3,0,0
ab12dcc1,47,26.574,0,46,392,4.298,3,0,0
sum,1004,512.428,0,1013,9519,78.480,55,0,0
arith_mean,52.84,25.62,0,53.32,501.00,3.92,2.89,0,0
geo_mean,50.02,24.22,0,52.15,460.43,3.92,2.83,0,0
