SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
1c8eee49,160,28.723,0,64,531,4.289,3,0,0
9d959559,1,8.100,0,15,92,3.888,0,0,0
a1046580,28,8.704,0,14,96,3.755,0,0,0
52b38be4,26,14.614,0,17,95,3.869,0,0,0
ca540c89,3,7.500,0,3,6,3.868,0,0,0
63b4146e,28,8.853,0,14,88,3.863,0,0,0
3e70db07,18,8.704,0,13,81,3.868,0,0,0
9239196a,4,7.900,0,10,77,3.915,0,0,0
64450ebb,0,7.307,0,8,97,3.803,0,0,0
1cbfa35e,0,7.403,0,25,205,3.917,0,0,0
af9f79d9,0,7.486,0,21,118,3.849,0,0,0
a516ec69,6,8.790,0,18,132,3.899,0,0,0
16b9d23e,1,8.116,0,16,99,3.902,0,0,0
a3cd7c9e,0,3.793,0,0,0,4.016,0,0,0
945fbb8d,2,8.106,0,13,79,3.868,0,0,0
56022074,29,8.973,0,12,96,3.909,0,0,0
4d8d667e,5,8.098,0,10,93,3.879,0,0,0
bbca52f9,2,8.103,0,13,81,3.890,0,0,0
41439694,25,8.703,0,5,19,3.935,0,0,0
ab12dcc1,4,8.479,0,11,82,4.298,0,0,0
sum,342,186.455,0,302,2167,78.480,3,0,0
arith_mean,21.38,9.32,0,15.89,114.05,3.92,3.00,0,0
geo_mean,7.93,8.63,0,13.10,84.42,3.92,3.00,0,0
