SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
1c8eee49,160,27.834,0,64,531,4.289,3,0,0
9d959559,30,16.881,0,15,92,3.888,0,0,0
a1046580,32,7.747,0,14,96,3.755,2,0,0
52b38be4,30,18.981,0,17,95,3.869,0,0,0
ca540c89,18,8.100,0,3,6,3.868,0,0,0
63b4146e,31,7.808,0,14,88,3.863,0,0,0
3e70db07,30,7.850,0,13,81,3.868,0,0,0
9239196a,23,7.651,0,10,77,3.915,0,0,0
64450ebb,21,9.305,0,8,97,3.803,0,0,0
1cbfa35e,31,23.912,0,25,205,3.917,0,0,0
af9f79d9,38,27.103,0,21,118,3.849,1,0,0
a516ec69,32,8.373,0,18,132,3.899,2,0,0
16b9d23e,32,8.253,0,16,99,3.902,2,0,0
a3cd7c9e,0,3.725,0,0,0,4.016,0,0,0
945fbb8d,32,8.192,0,13,79,3.868,2,0,0
56022074,31,8.419,0,12,96,3.909,2,0,0
4d8d667e,35,8.094,0,10,93,3.879,0,0,0
bbca52f9,38,8.259,0,13,81,3.890,2,0,0
41439694,28,7.936,0,5,19,3.935,0,0,0
ab12dcc1,31,8.457,0,11,82,4.298,2,0,0
sum,703,232.880,0,302,2167,78.480,18,0,0
arith_mean,37.00,11.64,0,15.89,114.05,3.92,2.00,0,0
geo_mean,32.44,10.12,0,13.10,84.42,3.92,1.94,0,0
