SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
a51c95783db026cd20d46bd74b96f2c95a71429d,160,10.935,0,27,128,0,2,0,0
d1f8470cf3b1aa8624449e90bec3db961459952b,0,7.399,0,0,0,0,0,0,0
343e636bda736e2d1596139b5da5fe7a562e2344,160,9.939,0,26,174,0,2,0,0
192c9ebd667d4c69e51212ad67015fb062977486,160,27.164,0,3,13,0,10,0,0
54a1e5d1d22428c34713bea5ce5acde166a0e004,2,10.940,0,4,9,0,0,0,0
48496e6233c0ea81961858cba978d9c5f991f2e8,2,10.189,0,3,12,0,0,0,0
52f855926525bfc98ca807c95631ac8efed12782,2,10.271,0,4,14,0,0,0,0
fb19114afbeb77d7e60ed03f5bf8201084c13420,0,8.625,0,8,34,0,0,0,0
c984455050bd7a3dff0892687db711170d062f2c,0,26.427,0,0,0,0,10,0,0
92e7794bdf498f97e25e1114d8a753b2851b42bd,160,14.198,0,28,192,0,2,0,0
e8f0072be75e9098e3a6a63f767b01a751abada6,160,44.260,0,75,522,0,4,0,0
d8cd52e46b47ebd48785c5715dea25cbd0d4586f,21,18.783,0,57,409,0,3,0,0
9bd19b0fcf89fe0e15f9ce9189533b78a87d9233,160,57.315,0,60,426,0,4,0,0
c51cc81d9157c99a8970c92e2f6b9c5444148c9b,6,17.351,0,30,230,0,0,0,0
74f38d894d7f26c902918ba8c58f82c77c11a18e,23,32.970,0,59,422,0,0,0,0
13d5dd5b8a7456fa848ba18aeb59c3abd8e94f93,23,31.819,0,31,234,0,0,0,0
d33e6c912d23d88887060afcc531d7059db763a6,4,17.883,0,30,227,0,0,0,0
4513571acf4b8ae5c0a7665ab4108de0440b23b5,3,17.661,0,59,418,0,0,0,0
4a59a21be1fe6174026ea6ffca8d8a00ce3fecd1,25,40.564,0,60,447,0,0,0,0
f79a6ca5b36429b801eec501fee6e7d056cf2528,0,49.371,0,0,0,0,2,0,0
sum,1071,464.064,0,564,3911,0,39,0,0
arith_mean,66.94,23.20,0,33.18,230.06,0,4.33,0,0
geo_mean,21.84,19.16,0,21.15,120.86,0,3.49,0,0
