SHA,VMS\HyRTS,HyRTS\VMS,VMS\CLASSES,CLASSES\VMS,VMS\METHODS,METHODS\VMS,VMS\MOP,MOP\VMS,VMS\FINE,FINE\VMS
80c7dedc1cf7ecaf81a206cd90c8f08975ed7d3f,22,0,22,0,22,0,0,0,22,0
381cca4018848c2fa75ae93efd44872c3d60cd59,0,0,0,0,0,0,0,22,0,0
eaaff1d0687fc86a745ca8f3ea0b069b3cf54233,3,0,3,0,3,0,0,19,3,0
ca7bec7931d244bf0cd344efe480aa9d9c54db9e,0,0,0,0,0,0,0,22,0,0
4d84d89207088ff08fc76d00bf90a56525aa7589,2,0,2,0,2,0,0,20,2,0
f81758e92881cb18bc1e0a84e2ac64464dd5ba85,0,0,0,0,0,0,0,22,0,0
dc437656ff8b825e87d7edf72125dc368b21c885,0,0,0,0,0,0,0,22,0,0
fb2063b3f83610f29572b631edaa7e0471d249ac,0,0,0,0,0,0,0,22,0,0
262448b391379d053451719f3d14024e7ed9e588,0,0,0,0,0,0,0,22,0,0
53922f2a5d3ca0750c22e4ead2194175545598d4,0,0,0,0,0,0,0,22,0,0
114403818fe7cf194ab4f9fed4ee3e96737d9740,0,0,0,0,0,0,0,22,0,0
52757eabf45fbecb04a877feecf1adc3ea765a3e,0,0,0,0,0,0,0,22,0,0
acff94148b2110b95f7aeae6a1bdcafb756061f0,0,0,0,0,0,0,0,22,0,0
67e9e5c65c662c4cba609d30cb7fa2726f2ce7a9,0,0,0,0,0,0,0,22,0,0
1e7b4b694926cef7339e265bc2b3fad3b2370367,0,0,0,0,0,0,0,22,0,0
b3fdbc28743019bcf855c3dccd7dd07a2372a53f,0,0,0,0,0,0,0,22,0,0
66825d61bf5257445f62a8a91ffda9fff8dcc4dd,0,0,0,0,0,0,0,22,0,0
3ba701b9d83dc9a6a1d45695c55f4f6edaa103c7,3,0,3,0,3,0,0,19,3,0
b90efa845e300f3ef113458d656689bf187164c1,0,0,0,0,0,0,0,22,0,0
e917d7964141615d4a653e4b24393088d8f35aa4,0,0,0,0,0,0,0,22,0,0
