SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|,|VMS\STARTS+CLASSES_ps1c|,|STARTS+CLASSES_ps1c\VMS|,|VMS\FINE_STARTS+CLASSES_ps1c|,|FINE_STARTS+CLASSES_ps1c\VMS|,|VMS\EKSTAZI+CLASSES_ps1c|,|EKSTAZI+CLASSES_ps1c\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps1c|,|FINE_EKSTAZI+CLASSES_ps1c\VMS|,|VMS\STARTS+METHODS-S_ps1c|,|STARTS+METHODS-S_ps1c\VMS|,|VMS\FINE_STARTS+METHODS-S_ps1c|,|FINE_STARTS+METHODS-S_ps1c\VMS|,|VMS\EKSTAZI+METHODS-S_ps1c|,|EKSTAZI+METHODS-S_ps1c\VMS|,|VMS\FINE_EKSTAZI+METHODS-S_ps1c|,|FINE_EKSTAZI+METHODS-S_ps1c\VMS|
80c7dedc1cf7ecaf81a206cd90c8f08975ed7d3f,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
381cca4018848c2fa75ae93efd44872c3d60cd59,22,0,0,0,22,0,22,0,4,0,24,0,22,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,22,0,0,0,4,0,4,0,0,0,0,0,0,0,0
eaaff1d0687fc86a745ca8f3ea0b069b3cf54233,22,3,0,0,19,0,19,0,1,0,1,0,19,0,19,0,11,0,1,0,11,1,2,3,1,0,1,0,19,0,19,0,1,0,1,0,1,0,1,0,3,0,3
ca7bec7931d244bf0cd344efe480aa9d9c54db9e,22,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
4d84d89207088ff08fc76d00bf90a56525aa7589,22,2,0,0,20,0,20,0,2,0,2,0,20,0,20,0,12,0,2,0,12,0,2,2,1,0,2,0,20,0,20,0,2,0,2,0,2,0,2,0,4,0,4
f81758e92881cb18bc1e0a84e2ac64464dd5ba85,22,0,0,0,22,0,22,0,4,0,4,0,22,0,22,0,14,0,4,0,14,0,4,0,1,0,4,0,22,0,22,0,4,0,4,0,4,0,4,0,6,0,6
dc437656ff8b825e87d7edf72125dc368b21c885,22,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fb2063b3f83610f29572b631edaa7e0471d249ac,22,0,0,0,22,0,22,0,24,0,24,0,22,0,22,0,10,0,0,0,10,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262448b391379d053451719f3d14024e7ed9e588,22,0,0,0,22,0,22,0,24,0,24,0,22,0,22,0,10,0,0,0,10,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53922f2a5d3ca0750c22e4ead2194175545598d4,22,0,0,0,22,0,22,0,22,0,21,0,22,0,22,0,21,0,0,0,21,0,0,0,0,0,0,0,22,0,22,0,22,0,22,0,0,0,0,0,1,0,1
114403818fe7cf194ab4f9fed4ee3e96737d9740,22,0,0,0,22,0,22,0,5,0,5,0,22,0,22,0,18,0,0,0,18,0,0,0,0,0,0,0,22,0,22,0,5,0,5,0,0,0,0,0,0,0,0
52757eabf45fbecb04a877feecf1adc3ea765a3e,22,0,0,0,22,0,22,0,24,0,24,0,22,0,22,0,21,0,0,0,21,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0
acff94148b2110b95f7aeae6a1bdcafb756061f0,22,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
67e9e5c65c662c4cba609d30cb7fa2726f2ce7a9,22,0,0,0,22,0,22,0,9,0,9,0,22,0,22,0,19,0,0,0,19,0,0,0,0,0,0,0,22,0,0,0,9,0,9,0,0,0,0,0,0,0,0
