SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bb439097,0,182.203,0,0,0,0,6,0,0
9f652e7a,0,3.117,0,0,0,0,0,0,0
f7cb9b91,0,2.868,0,0,0,0,0,0,0
3afb0a43,0,3.221,0,0,0,0,0,0,0
dd00c81c,0,2.977,0,0,0,0,0,0,0
96c13096,0,3.093,0,0,0,0,0,0,0
04698b21,0,3.295,0,0,0,0,0,0,0
1fd0a702,0,3.030,0,0,0,0,0,0,0
d77a3cfd,0,3.073,0,0,0,0,0,0,0
ed4fa984,0,3.121,0,0,0,0,0,0,0
094c2cb4,0,3.339,0,0,0,0,0,0,0
014cc932,0,3.067,0,0,0,0,0,0,0
427bb666,0,3.027,0,0,0,0,0,0,0
eb052c36,0,3.060,0,0,0,0,0,0,0
e060e937,0,3.205,0,0,0,0,0,0,0
d75e3d25,0,3.164,0,0,0,0,0,0,0
9909973e,0,3.058,0,0,0,0,0,0,0
bf213349,0,3.178,0,0,0,0,0,0,0
81f94cd4,0,3.255,0,0,0,0,0,0,0
5162ef9a,0,168.335,0,0,0,0,6,0,0
sum,0,406.686,0,0,0,0,12,0,0
arith_mean,0,20.33,0,0,0,0,6.00,0,0
geo_mean,0,4.66,0,0,0,0,6.00,0,0
