SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bb439097,160,188.349,77,77,0,0,6,0,0
9f652e7a,160,8.122,77,58,0,0,0,0,0
f7cb9b91,48,8.030,77,58,0,0,0,0,0
3afb0a43,53,8.726,77,68,0,0,0,0,0
dd00c81c,32,8.894,77,6,0,0,0,0,0
96c13096,48,8.553,77,61,0,0,0,0,0
04698b21,0,6.244,77,0,0,0,0,0,0
1fd0a702,48,9.312,77,58,0,0,0,0,0
d77a3cfd,48,8.775,77,58,0,0,0,0,0
ed4fa984,48,8.483,77,58,0,0,0,0,0
094c2cb4,48,8.644,77,58,0,0,0,0,0
014cc932,48,8.439,77,58,0,0,0,0,0
427bb666,48,8.590,77,58,0,0,0,0,0
eb052c36,48,8.464,77,58,0,0,0,0,0
e060e937,48,8.724,77,58,0,0,0,0,0
d75e3d25,48,8.305,77,58,0,0,0,0,0
9909973e,48,8.422,77,58,0,0,0,0,0
bf213349,48,8.538,77,58,0,0,0,0,0
81f94cd4,48,8.716,77,61,0,0,0,0,0
5162ef9a,53,130.033,82,68,0,0,0,0,0
sum,1130,470.363,1545,1095,0,0,6,0,0
arith_mean,59.47,23.52,77.25,57.63,0,0,6.00,0,0
geo_mean,53.89,11.28,77.24,53.41,0,0,6.00,0,0
