SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
bb439097,160,162.389,0,77,578,8.799,6,0,0
9f652e7a,160,154.592,0,41,263,5.329,6,0,0
f7cb9b91,48,25.054,0,36,195,5.252,6,0,0
3afb0a43,48,84.527,0,42,239,5.503,6,0,0
dd00c81c,0,4.966,0,0,0,5.549,0,0,0
96c13096,45,24.757,0,16,135,5.377,6,0,0
04698b21,0,4.459,0,0,0,5.147,0,0,0
1fd0a702,48,28.829,0,34,185,5.394,6,0,0
d77a3cfd,48,28.690,0,37,214,5.506,6,0,0
ed4fa984,48,121.413,0,44,371,5.309,6,0,0
094c2cb4,48,25.219,0,36,198,5.505,6,0,0
014cc932,48,23.909,0,66,542,5.406,6,0,0
427bb666,48,32.222,0,36,202,5.563,6,0,0
eb052c36,48,25.040,0,35,202,5.124,6,0,0
e060e937,43,24.433,0,21,83,5.670,5,0,0
d75e3d25,48,25.631,0,36,198,5.559,6,0,0
9909973e,48,25.524,0,36,198,6.339,6,0,0
bf213349,48,24.323,0,36,198,5.339,6,0,0
81f94cd4,48,119.452,0,60,487,5.127,6,0,0
5162ef9a,53,152.993,0,71,719,5.948,6,0,0
sum,1085,1118.422,0,760,5207,112.745,107,0,0
arith_mean,60.28,55.92,-nan,42.22,289.28,5.64,5.94,-nan,-nan
geo_mean,54.64,35.50,-nan,39.42,249.34,5.60,5.94,-nan,-nan
